Snow ratio,Log likelihood,Error std
0.38,-385157.28,3.24
0.38,-385157.46,3.24
0.38,-385161.44,3.24
0.38,-385163.03,3.24
0.38,-385177.35,3.24
0.38,-385203.89,3.24
0.39,-385235.39,3.24
0.38,-385241.07,3.24
0.37,-385253.77,3.24
0.39,-385262.94,3.24
0.37,-385288.88,3.24
0.39,-385289.57,3.24
0.37,-385350.66,3.24
0.39,-385387.18,3.24
0.39,-385400.75,3.24
0.37,-385457.37,3.24
0.39,-385478.36,3.24
0.37,-385508.53,3.24
0.37,-385658.78,3.24
0.37,-385677.8,3.24
0.39,-385707.05,3.24
0.37,-385717.86,3.24
0.37,-385751.26,3.24
0.37,-385811.87,3.24
0.37,-385870.53,3.24
0.37,-385882.7,3.24
0.4,-385917.14,3.24
0.4,-386093.29,3.24
0.36,-386106.3,3.24
0.4,-386132.12,3.24
0.4,-386133.66,3.24
0.36,-386133.99,3.24
0.4,-386480.27,3.24
0.4,-386572.64,3.24
0.4,-386602.43,3.24
0.36,-386635.96,3.24
0.4,-386646.55,3.24
0.36,-386650.72,3.24
0.36,-386689.56,3.24
0.4,-386693.86,3.24
0.36,-386856.3,3.24
0.36,-386943.11,3.24
0.36,-387013.21,3.24
0.41,-387018.06,3.24
0.36,-387081.18,3.24
0.41,-387093.01,3.24
0.41,-387117.52,3.24
0.35,-387198.11,3.24
0.35,-387213.67,3.24
0.41,-387278.07,3.24
0.35,-387290.77,3.24
0.35,-387337.91,3.24
0.35,-387741.46,3.24
0.41,-387810.31,3.24
0.41,-387899.46,3.24
0.35,-388119.68,3.24
0.41,-388285.79,3.24
0.35,-388336.61,3.24
0.35,-388564.04,3.24
0.41,-388592.23,3.24
0.35,-388622.28,3.24
0.35,-388859.97,3.24
0.35,-388988.05,3.24
0.34,-389026.99,3.24
0.34,-389189.73,3.24
0.42,-389575.82,3.24
0.42,-389667.01,3.24
0.42,-389822.0,3.24
0.42,-389851.78,3.24
0.34,-390077.78,3.24
0.34,-390404.97,3.24
0.34,-390501.64,3.24
0.42,-390804.37,3.24
0.42,-390804.78,3.24
0.42,-390824.22,3.24
0.34,-390956.29,3.24
0.43,-391194.98,3.24
0.43,-391273.4,3.24
0.43,-391298.07,3.24
0.43,-391324.03,3.24
0.43,-391534.22,3.24
