Snow ratio,Log likelihood,Error std
0.0081,-716080.4327,3.596
0.0295,-706148.2823,3.596
0.0484,-668435.2394,3.596
0.0648,-637167.1875,3.596
0.0844,-601534.0295,3.596
0.0939,-585025.9233,3.596
0.1034,-568819.3307,3.596
0.1165,-547196.6946,3.596
0.1288,-527751.5815,3.596
0.149,-497453.5616,3.596
0.1654,-474250.2819,3.596
0.1755,-460588.9717,3.596
0.1827,-451164.7685,3.596
0.1973,-432945.9563,3.596
0.2074,-420899.3545,3.596
0.212,-415570.3646,3.596
0.2231,-403256.2815,3.596
0.2306,-395206.4563,3.596
0.2358,-389787.1612,3.596
0.24,-385563.1549,3.596
0.2639,-362935.2662,3.596
0.2813,-348249.9235,3.596
0.2955,-337333.8882,3.596
0.3107,-326775.8858,3.596
0.329,-315583.4955,3.596
0.3538,-302998.7764,3.596
0.358,-301189.8673,3.596
0.364,-298721.8633,3.596
0.3735,-295205.0825,3.596
0.3913,-289775.9358,3.596
0.4054,-286597.4786,3.596
0.4185,-284521.8954,3.596
0.4379,-282991.0615,3.596
0.4453,-282896.5985,3.596
0.4443,-282893.7857,3.596
0.4441,-282893.8009,3.596
0.4436,-282894.7577,3.596
0.4435,-282895.119,3.596
0.4446,-282894.054,3.596
0.4444,-282893.8562,3.596
0.4446,-282894.1857,3.596
0.4445,-282893.9921,3.596
0.4444,-282893.8876,3.596
0.4444,-282893.8892,3.596
0.4441,-282893.8224,3.596
0.4441,-282893.7994,3.596
0.4437,-282894.4724,3.596
0.4441,-282893.8075,3.596
0.4439,-282894.0512,3.596
0.4448,-282894.4856,3.596
0.4438,-282894.325,3.596
0.4438,-282894.3113,3.596
0.4452,-282896.0164,3.596
0.4451,-282895.7798,3.596
0.445,-282895.3196,3.596
0.4447,-282894.38,3.596
0.4435,-282895.1967,3.596
0.4436,-282894.6961,3.596
0.4451,-282895.5918,3.596
0.4432,-282896.5271,3.596
0.4448,-282894.5149,3.596
0.445,-282895.0673,3.596
0.4447,-282894.3869,3.596
0.4441,-282893.8158,3.596
0.4446,-282894.1413,3.596
0.4443,-282893.7846,3.596
0.4445,-282893.954,3.596
0.4444,-282893.8773,3.596
0.4446,-282894.1131,3.596
0.4428,-282898.5544,3.596
0.4431,-282897.0143,3.596
0.4435,-282895.1267,3.596
0.4439,-282894.1192,3.596
0.4444,-282893.8602,3.596
0.4446,-282894.045,3.596
0.4438,-282894.2148,3.596
0.4438,-282894.2377,3.596
0.4436,-282894.6822,3.596
0.4435,-282894.9264,3.596
0.4439,-282894.0262,3.596
0.4449,-282895.0196,3.596
0.4433,-282895.9683,3.596
0.4435,-282895.2664,3.596
0.4432,-282896.4273,3.596
0.4434,-282895.3645,3.596
0.4434,-282895.582,3.596
0.4438,-282894.3193,3.596
0.4445,-282893.9819,3.596
0.4443,-282893.7895,3.596
0.4438,-282894.2128,3.596
0.4444,-282893.8777,3.596
0.4443,-282893.7905,3.596
0.4446,-282894.1824,3.596
0.4432,-282896.5348,3.596
0.4446,-282894.0428,3.596
0.4451,-282895.6588,3.596
0.4439,-282894.1222,3.596
0.4442,-282893.782,3.596
0.4444,-282893.8279,3.596
0.4442,-282893.7843,3.596
0.4434,-282895.4807,3.596
0.4438,-282894.2674,3.596
0.4439,-282894.0319,3.596
0.4443,-282893.7869,3.596
