Snow ratio,Log likelihood,Error std
0.26,-1669449.94,1.82
0.26,-1669452.7,1.82
0.26,-1669463.61,1.82
0.26,-1669467.48,1.82
0.26,-1669469.43,1.82
0.26,-1669482.99,1.82
0.26,-1669514.87,1.82
0.25,-1669743.64,1.82
0.25,-1669873.71,1.82
0.25,-1669943.97,1.82
0.27,-1669959.19,1.82
0.25,-1669980.84,1.82
0.25,-1670203.43,1.82
0.27,-1670463.2,1.82
0.27,-1670464.06,1.82
0.27,-1670506.55,1.82
0.27,-1670508.65,1.82
0.27,-1671406.45,1.82
0.27,-1671634.18,1.82
0.27,-1671641.03,1.82
0.25,-1671741.89,1.82
0.27,-1671780.1,1.82
0.25,-1671852.34,1.82
0.27,-1671911.27,1.82
0.25,-1672113.86,1.82
0.27,-1672256.71,1.82
0.25,-1672307.77,1.82
0.27,-1672364.86,1.82
0.27,-1672429.69,1.82
0.27,-1672444.11,1.82
0.24,-1672586.09,1.82
0.27,-1672605.42,1.82
0.24,-1672638.8,1.82
0.27,-1672749.81,1.82
0.24,-1673086.57,1.82
0.24,-1673289.0,1.82
0.28,-1673342.14,1.82
0.24,-1673373.06,1.82
0.28,-1673430.2,1.82
0.28,-1673519.27,1.82
0.24,-1673662.48,1.82
0.28,-1673969.1,1.82
0.28,-1674118.63,1.82
0.24,-1674331.92,1.82
0.28,-1674618.91,1.82
0.28,-1674774.37,1.82
0.28,-1675682.84,1.82
0.24,-1675759.18,1.82
0.28,-1675781.9,1.82
0.28,-1675829.41,1.82
0.24,-1675869.67,1.82
0.28,-1676373.39,1.82
0.24,-1676592.75,1.82
0.24,-1676614.17,1.82
0.28,-1677046.34,1.82
0.28,-1677323.2,1.82
0.28,-1678331.38,1.82
0.28,-1678349.72,1.82
0.23,-1678372.06,1.82
0.28,-1678501.69,1.82
0.23,-1678687.36,1.82
0.29,-1679410.84,1.82
0.29,-1679550.28,1.82
0.29,-1679822.41,1.82
0.29,-1680121.16,1.82
0.23,-1680179.17,1.82
0.29,-1680602.9,1.82
0.23,-1681130.2,1.82
0.23,-1681817.06,1.82
0.23,-1682162.17,1.82
0.23,-1682209.48,1.82
0.29,-1682278.1,1.82
0.29,-1682346.2,1.82
0.23,-1682484.59,1.82
0.29,-1683521.49,1.82
0.23,-1683723.38,1.82
0.23,-1683757.85,1.82
0.23,-1684075.04,1.82
0.29,-1684729.01,1.82
0.23,-1685150.04,1.82
0.29,-1686333.58,1.82
0.29,-1687445.76,1.82
0.29,-1687530.3,1.82
0.3,-1687931.47,1.82
0.3,-1689778.83,1.82
0.3,-1689975.1,1.82
0.22,-1690563.15,1.82
0.22,-1690935.4,1.82
0.3,-1692806.46,1.82
0.3,-1692855.82,1.82
0.22,-1693232.68,1.82
0.3,-1693322.55,1.82
0.3,-1693882.97,1.82
0.22,-1694849.92,1.82
0.3,-1695129.07,1.82
0.3,-1696124.89,1.82
0.22,-1696372.93,1.82
0.3,-1696984.76,1.82
0.22,-1697184.14,1.82
0.21,-1698929.35,1.82
0.3,-1699034.77,1.82
0.3,-1699220.22,1.82
0.21,-1699756.29,1.82
0.31,-1700173.5,1.82
0.31,-1700969.26,1.82
0.21,-1701074.47,1.82
0.21,-1702014.79,1.82
0.21,-1702110.61,1.82
0.31,-1702392.52,1.82
0.31,-1702761.62,1.82
0.21,-1702857.7,1.82
0.21,-1703581.4,1.82
0.31,-1704298.63,1.82
0.31,-1706338.96,1.82
0.21,-1706923.64,1.82
0.31,-1708610.11,1.82
0.21,-1709224.76,1.82
0.21,-1709957.69,1.82
0.2,-1712530.67,1.82
0.31,-1712776.23,1.82
0.2,-1713352.06,1.82
0.31,-1713946.13,1.82
0.32,-1714309.0,1.82
0.2,-1714942.72,1.82
0.32,-1715395.51,1.82
0.32,-1718573.22,1.82
0.32,-1718682.92,1.82
0.2,-1718790.06,1.82
0.32,-1719306.21,1.82
0.2,-1720825.35,1.82
0.2,-1721447.59,1.82
0.32,-1721480.4,1.82
0.32,-1724855.96,1.82
0.2,-1725321.48,1.82
0.2,-1725968.89,1.82
0.32,-1728727.67,1.82
0.32,-1729773.45,1.82
0.32,-1729819.26,1.82
0.19,-1730374.34,1.82
0.19,-1730482.9,1.82
0.32,-1731020.59,1.82
0.33,-1732252.0,1.82
0.19,-1732585.7,1.82
0.19,-1735661.25,1.82
0.33,-1735692.69,1.82
0.19,-1737334.43,1.82
0.19,-1737672.38,1.82
0.33,-1740575.49,1.82
0.33,-1741129.19,1.82
0.33,-1741235.33,1.82
0.19,-1742724.09,1.82
0.19,-1743505.48,1.82
0.33,-1743507.43,1.82
0.33,-1744338.29,1.82
0.19,-1744556.48,1.82
0.19,-1745514.25,1.82
0.33,-1748529.12,1.82
0.33,-1749552.4,1.82
0.33,-1750591.38,1.82
0.33,-1750774.3,1.82
0.18,-1752175.11,1.82
0.18,-1752438.6,1.82
0.34,-1753586.16,1.82
0.18,-1753625.74,1.82
0.18,-1753973.36,1.82
0.34,-1754175.08,1.82
0.34,-1755581.33,1.82
0.18,-1757413.83,1.82
0.34,-1758974.48,1.82
0.34,-1760680.61,1.82
0.34,-1764820.71,1.82
0.18,-1764925.99,1.82
0.18,-1765047.83,1.82
0.34,-1765344.73,1.82
0.18,-1766332.33,1.82
0.18,-1766696.14,1.82
0.34,-1767214.44,1.82
0.18,-1767970.39,1.82
0.34,-1768736.03,1.82
0.34,-1769979.32,1.82
0.34,-1771573.11,1.82
0.17,-1774881.96,1.82
0.17,-1777044.64,1.82
0.17,-1778149.15,1.82
0.35,-1779457.08,1.82
0.17,-1781462.81,1.82
0.35,-1782912.5,1.82
0.35,-1784210.56,1.82
0.35,-1786116.19,1.82
0.35,-1787502.18,1.82
0.17,-1788135.64,1.82
0.35,-1792822.94,1.82
0.35,-1793056.81,1.82
0.35,-1793264.32,1.82
0.17,-1794229.67,1.82
0.17,-1794933.12,1.82
0.35,-1795330.8,1.82
0.35,-1796384.21,1.82
0.17,-1796696.86,1.82
0.17,-1797407.03,1.82
0.17,-1797707.89,1.82
0.16,-1799650.77,1.82
0.36,-1803521.59,1.82
0.36,-1804852.96,1.82
0.36,-1805607.32,1.82
0.16,-1806651.32,1.82
0.36,-1807353.75,1.82
0.36,-1808229.58,1.82
0.16,-1808372.89,1.82
0.36,-1810030.3,1.82
0.36,-1811758.36,1.82
0.16,-1813893.99,1.82
0.16,-1813959.83,1.82
0.36,-1814205.72,1.82
0.36,-1815505.31,1.82
0.36,-1816102.29,1.82
0.36,-1821043.35,1.82
0.36,-1822197.99,1.82
0.36,-1823612.04,1.82
0.36,-1824556.44,1.82
0.36,-1825466.86,1.82
0.15,-1827190.24,1.82
0.36,-1827933.46,1.82
0.36,-1829577.65,1.82
0.37,-1831045.77,1.82
0.37,-1834151.62,1.82
0.37,-1835483.68,1.82
0.15,-1835810.08,1.82
0.37,-1836012.67,1.82
0.15,-1837704.71,1.82
0.37,-1841502.58,1.82
0.15,-1842093.28,1.82
0.37,-1842151.5,1.82
0.15,-1843829.24,1.82
0.37,-1844934.28,1.82
0.37,-1846895.72,1.82
0.15,-1851632.83,1.82
0.15,-1855698.51,1.82
0.15,-1856149.62,1.82
0.15,-1856624.41,1.82
0.37,-1857740.73,1.82
0.37,-1858423.98,1.82
0.37,-1859176.03,1.82
0.37,-1862287.19,1.82
0.14,-1863253.72,1.82
0.14,-1863819.29,1.82
0.14,-1864777.62,1.82
0.14,-1865305.5,1.82
0.38,-1869672.94,1.82
0.38,-1871640.82,1.82
0.38,-1873062.95,1.82
0.14,-1876153.67,1.82
0.14,-1876650.04,1.82
0.14,-1878321.49,1.82
0.38,-1882299.94,1.82
0.14,-1882432.42,1.82
0.38,-1882442.5,1.82
0.14,-1882573.86,1.82
0.14,-1883412.78,1.82
0.14,-1883482.31,1.82
0.14,-1884705.79,1.82
0.14,-1885941.12,1.82
0.14,-1887599.76,1.82
0.38,-1888747.16,1.82
0.14,-1889178.76,1.82
0.14,-1891305.21,1.82
0.38,-1894555.45,1.82
0.38,-1894689.75,1.82
0.13,-1896246.51,1.82
0.39,-1899165.43,1.82
0.13,-1899674.74,1.82
0.13,-1899918.83,1.82
0.39,-1901221.06,1.82
0.39,-1903907.17,1.82
0.13,-1904250.95,1.82
0.39,-1905378.97,1.82
0.39,-1907667.82,1.82
0.39,-1907775.02,1.82
0.13,-1909083.4,1.82
0.13,-1911130.21,1.82
0.13,-1911994.03,1.82
0.39,-1912742.03,1.82
0.39,-1916318.75,1.82
0.39,-1920218.29,1.82
0.39,-1920485.78,1.82
0.13,-1921366.77,1.82
0.13,-1922229.62,1.82
0.39,-1922717.35,1.82
0.13,-1925886.95,1.82
0.13,-1926122.46,1.82
0.13,-1927444.59,1.82
0.39,-1931236.41,1.82
0.12,-1934314.99,1.82
0.4,-1937219.31,1.82
0.12,-1937377.09,1.82
0.4,-1937797.85,1.82
0.12,-1938113.28,1.82
0.4,-1938386.32,1.82
0.4,-1941815.04,1.82
0.4,-1952675.18,1.82
0.4,-1954414.4,1.82
0.4,-1954416.65,1.82
0.12,-1962656.47,1.82
0.4,-1962722.47,1.82
0.12,-1963270.12,1.82
0.12,-1965257.63,1.82
0.4,-1965884.28,1.82
0.4,-1966843.9,1.82
0.4,-1969359.64,1.82
0.11,-1970262.27,1.82
0.11,-1971185.88,1.82
0.11,-1971815.65,1.82
0.11,-1971985.45,1.82
0.41,-1975496.43,1.82
0.41,-1975553.8,1.82
0.41,-1980548.65,1.82
0.41,-1986713.06,1.82
0.41,-1987415.38,1.82
0.11,-1987786.17,1.82
0.41,-1988100.86,1.82
0.41,-1989491.48,1.82
0.41,-1990767.95,1.82
0.11,-1994144.96,1.82
0.41,-1994218.52,1.82
0.11,-1997242.22,1.82
0.11,-2005237.88,1.82
0.41,-2005533.72,1.82
0.11,-2012835.3,1.82
0.1,-2014336.54,1.82
0.1,-2016450.31,1.82
0.41,-2016768.32,1.82
0.42,-2020487.33,1.82
0.42,-2022504.62,1.82
0.42,-2023295.59,1.82
0.1,-2023696.34,1.82
0.1,-2026153.08,1.82
0.1,-2027050.86,1.82
0.1,-2027348.28,1.82
0.42,-2034491.53,1.82
0.1,-2036762.22,1.82
0.42,-2038812.68,1.82
0.42,-2041972.76,1.82
0.42,-2042153.19,1.82
0.42,-2043810.98,1.82
0.1,-2045448.79,1.82
0.42,-2047770.72,1.82
0.1,-2048076.61,1.82
0.42,-2048196.05,1.82
0.1,-2048417.66,1.82
0.1,-2049448.43,1.82
0.1,-2051658.65,1.82
0.1,-2052626.23,1.82
0.42,-2055178.53,1.82
0.1,-2055923.48,1.82
0.1,-2056380.6,1.82
0.09,-2060301.85,1.82
0.43,-2066319.51,1.82
0.09,-2066372.12,1.82
0.09,-2067596.62,1.82
0.09,-2069200.14,1.82
0.09,-2072488.23,1.82
0.43,-2075620.22,1.82
0.43,-2079146.38,1.82
0.43,-2080112.73,1.82
0.43,-2080384.2,1.82
0.09,-2083683.9,1.82
0.43,-2083989.46,1.82
0.09,-2088066.84,1.82
0.43,-2093250.22,1.82
0.43,-2095846.24,1.82
0.43,-2096012.85,1.82
0.09,-2096448.28,1.82
0.09,-2096701.53,1.82
0.43,-2097731.19,1.82
0.09,-2098607.21,1.82
0.43,-2101778.26,1.82
0.43,-2104772.83,1.82
0.09,-2107596.48,1.82
0.44,-2117322.15,1.82
0.08,-2118319.23,1.82
0.44,-2119221.5,1.82
0.08,-2120560.21,1.82
0.08,-2121612.37,1.82
0.44,-2121914.84,1.82
0.08,-2124256.6,1.82
0.08,-2127241.39,1.82
0.08,-2128827.46,1.82
0.08,-2130739.8,1.82
0.44,-2135721.86,1.82
0.08,-2135814.39,1.82
0.08,-2142189.07,1.82
0.44,-2152970.72,1.82
0.08,-2155241.03,1.82
0.08,-2155564.59,1.82
0.08,-2156495.64,1.82
0.07,-2160507.18,1.82
0.07,-2164206.95,1.82
0.45,-2171932.72,1.82
0.45,-2172841.41,1.82
0.07,-2173895.85,1.82
0.45,-2177924.49,1.82
0.07,-2179318.84,1.82
0.45,-2181207.82,1.82
0.07,-2182805.39,1.82
0.45,-2190052.98,1.82
0.45,-2199356.81,1.82
0.07,-2200425.92,1.82
0.07,-2208211.09,1.82
0.07,-2208619.3,1.82
0.45,-2209022.72,1.82
0.45,-2213771.75,1.82
0.06,-2215249.09,1.82
0.06,-2216774.23,1.82
0.45,-2217958.62,1.82
0.45,-2218413.32,1.82
0.46,-2228436.3,1.82
0.06,-2230394.31,1.82
0.46,-2243621.31,1.82
0.06,-2256482.71,1.82
0.46,-2258259.3,1.82
0.05,-2283635.7,1.82
0.47,-2283911.25,1.82
0.47,-2290118.18,1.82
0.05,-2292029.1,1.82
0.47,-2292904.34,1.82
0.05,-2298157.85,1.82
0.47,-2301751.47,1.82
0.47,-2301885.74,1.82
0.47,-2303023.6,1.82
0.47,-2309715.87,1.82
0.05,-2313130.18,1.82
0.47,-2320611.34,1.82
0.47,-2324937.29,1.82
0.05,-2328835.25,1.82
0.47,-2332698.37,1.82
0.47,-2337214.11,1.82
0.04,-2342518.3,1.82
0.04,-2348315.0,1.82
0.48,-2349006.04,1.82
0.04,-2352278.82,1.82
0.48,-2353111.27,1.82
0.48,-2353270.21,1.82
0.04,-2354973.53,1.82
0.48,-2357562.85,1.82
0.04,-2358936.51,1.82
0.04,-2362635.85,1.82
0.48,-2363457.02,1.82
0.04,-2381048.31,1.82
0.48,-2383796.82,1.82
0.48,-2387645.16,1.82
0.04,-2388194.57,1.82
0.03,-2396915.78,1.82
0.48,-2401210.31,1.82
0.49,-2408663.53,1.82
0.49,-2413217.0,1.82
0.49,-2417097.86,1.82
0.49,-2422453.49,1.82
0.49,-2427345.57,1.82
0.49,-2427622.62,1.82
0.49,-2427962.81,1.82
0.49,-2438605.88,1.82
0.49,-2440907.22,1.82
0.03,-2443469.42,1.82
0.03,-2444036.75,1.82
0.03,-2447190.66,1.82
0.03,-2453438.45,1.82
0.03,-2458674.47,1.82
0.49,-2459896.9,1.82
0.03,-2460299.85,1.82
0.49,-2464943.53,1.82
0.02,-2468534.73,1.82
0.02,-2468796.73,1.82
0.5,-2471667.22,1.82
0.5,-2472003.66,1.82
0.02,-2485725.86,1.82
0.5,-2489956.48,1.82
0.02,-2493355.47,1.82
0.5,-2494900.08,1.82
0.5,-2497430.5,1.82
0.02,-2497911.93,1.82
0.02,-2506608.21,1.82
0.02,-2507959.06,1.82
0.02,-2511261.53,1.82
0.5,-2518468.92,1.82
0.02,-2518557.72,1.82
0.02,-2526846.49,1.82
0.02,-2527906.6,1.82
0.01,-2530738.72,1.82
0.5,-2532726.13,1.82
0.01,-2542543.09,1.82
0.01,-2543177.22,1.82
0.01,-2552636.14,1.82
0.01,-2557082.19,1.82
0.01,-2569090.17,1.82
0.01,-2569724.03,1.82
0.51,-2573624.01,1.82
0.01,-2573954.86,1.82
0.01,-2578000.27,1.82
0.01,-2579094.62,1.82
0.51,-2579445.31,1.82
0.01,-2584787.78,1.82
0.51,-2588590.08,1.82
0.01,-2591810.41,1.82
0.01,-2602320.88,1.82
0.51,-2604120.29,1.82
0.51,-2606050.5,1.82
0.52,-2615186.99,1.82
0.0,-2622574.61,1.82
0.0,-2626486.71,1.82
0.52,-2626836.84,1.82
0.0,-2629895.87,1.82
0.52,-2633064.91,1.82
0.0,-2638650.47,1.82
0.52,-2646687.27,1.82
0.52,-2658500.94,1.82
0.52,-2658553.5,1.82
0.52,-2660911.03,1.82
0.52,-2662880.85,1.82
0.52,-2676274.28,1.82
0.53,-2711830.46,1.82
0.53,-2712163.35,1.82
0.53,-2714311.34,1.82
0.53,-2716528.42,1.82
0.53,-2726485.93,1.82
0.53,-2731016.72,1.82
0.53,-2737768.23,1.82
0.53,-2746920.28,1.82
0.53,-2747353.04,1.82
0.53,-2751616.73,1.82
0.53,-2759509.25,1.82
0.54,-2770266.27,1.82
0.54,-2776899.35,1.82
0.54,-2777045.61,1.82
0.54,-2785597.87,1.82
0.54,-2816351.34,1.82
0.54,-2816802.98,1.82
0.54,-2826284.67,1.82
0.54,-2836084.95,1.82
0.54,-2845253.04,1.82
0.55,-2846781.13,1.82
0.55,-2854034.0,1.82
0.55,-2859014.39,1.82
0.55,-2859593.9,1.82
0.55,-2861476.94,1.82
0.55,-2866054.31,1.82
0.55,-2874866.48,1.82
0.55,-2879680.98,1.82
0.55,-2880936.14,1.82
0.55,-2883479.63,1.82
0.55,-2888119.13,1.82
0.55,-2890065.35,1.82
0.55,-2891204.1,1.82
0.55,-2902804.17,1.82
0.55,-2906412.89,1.82
0.55,-2911443.02,1.82
0.55,-2913281.46,1.82
0.55,-2923988.67,1.82
0.55,-2929663.6,1.82
0.56,-2936969.38,1.82
0.56,-2943299.32,1.82
0.56,-2948982.07,1.82
0.56,-2952280.28,1.82
0.56,-2955904.05,1.82
0.56,-2964784.72,1.82
0.56,-2992327.44,1.82
0.56,-2993494.17,1.82
0.56,-3006115.21,1.82
0.56,-3008956.94,1.82
0.57,-3028253.84,1.82
0.57,-3032389.77,1.82
0.57,-3039094.59,1.82
0.57,-3062279.72,1.82
0.58,-3110066.73,1.82
0.58,-3152147.11,1.82
0.58,-3152893.08,1.82
0.58,-3152989.58,1.82
0.58,-3173196.02,1.82
0.58,-3181408.98,1.82
0.58,-3185075.91,1.82
0.59,-3207261.86,1.82
0.59,-3218181.64,1.82
0.59,-3234219.8,1.82
0.59,-3243096.38,1.82
0.59,-3250032.35,1.82
0.59,-3260254.67,1.82
0.59,-3262677.66,1.82
0.59,-3265939.46,1.82
0.59,-3269046.97,1.82
0.59,-3284077.48,1.82
0.6,-3295547.5,1.82
0.6,-3321876.95,1.82
0.6,-3322719.58,1.82
0.6,-3332710.55,1.82
0.6,-3337039.42,1.82
0.6,-3338103.51,1.82
0.6,-3338664.77,1.82
0.6,-3340773.57,1.82
0.6,-3363677.7,1.82
0.6,-3383624.98,1.82
0.6,-3391069.14,1.82
0.61,-3399688.05,1.82
0.61,-3413177.13,1.82
0.61,-3429756.26,1.82
0.61,-3431367.66,1.82
0.61,-3431990.94,1.82
0.61,-3462623.22,1.82
0.61,-3464434.56,1.82
0.61,-3484118.66,1.82
0.62,-3500392.8,1.82
0.62,-3533683.77,1.82
0.62,-3533979.77,1.82
0.62,-3543404.58,1.82
0.62,-3544628.21,1.82
0.62,-3561640.16,1.82
0.62,-3562692.34,1.82
0.62,-3571078.34,1.82
0.62,-3572950.23,1.82
0.62,-3583327.18,1.82
0.63,-3610194.01,1.82
0.63,-3614213.37,1.82
0.63,-3618983.05,1.82
0.63,-3627182.15,1.82
0.63,-3638035.89,1.82
0.63,-3645240.79,1.82
0.63,-3653310.82,1.82
0.63,-3664288.9,1.82
0.63,-3702697.67,1.82
0.64,-3723791.62,1.82
0.64,-3738950.69,1.82
0.64,-3743626.01,1.82
0.64,-3767897.27,1.82
0.64,-3775259.99,1.82
0.64,-3783670.41,1.82
0.64,-3791732.56,1.82
0.64,-3799486.11,1.82
0.64,-3801640.11,1.82
0.64,-3808098.38,1.82
0.65,-3821807.74,1.82
0.65,-3838216.93,1.82
0.65,-3843327.36,1.82
0.65,-3856306.45,1.82
0.65,-3900129.35,1.82
0.65,-3921417.23,1.82
0.65,-3926821.57,1.82
0.66,-3940297.84,1.82
0.66,-3941933.0,1.82
0.66,-3966095.45,1.82
0.66,-3974250.11,1.82
0.66,-3995445.27,1.82
0.66,-4000131.0,1.82
0.66,-4008600.24,1.82
0.66,-4040426.5,1.82
0.67,-4054252.09,1.82
0.67,-4078221.03,1.82
0.67,-4082131.72,1.82
0.67,-4103497.2,1.82
0.67,-4105474.79,1.82
0.67,-4106777.6,1.82
0.67,-4110723.51,1.82
0.67,-4142289.75,1.82
0.67,-4151887.74,1.82
0.67,-4155339.51,1.82
0.68,-4161378.73,1.82
0.68,-4171805.19,1.82
0.68,-4172862.35,1.82
0.68,-4176785.11,1.82
0.68,-4211417.6,1.82
0.68,-4241430.64,1.82
0.68,-4244809.91,1.82
0.68,-4248587.23,1.82
0.68,-4251979.53,1.82
0.68,-4260296.03,1.82
0.68,-4269719.98,1.82
0.69,-4283799.6,1.82
0.69,-4285870.87,1.82
0.69,-4299372.58,1.82
0.69,-4306221.68,1.82
0.69,-4318141.77,1.82
0.69,-4320097.22,1.82
0.69,-4333035.9,1.82
