Snow ratio,Log likelihood,Error std
0.1384,-703742.7883,3.4763
0.153,-639822.4678,3.4763
0.1588,-629232.9338,3.4763
0.179,-594116.5989,3.4763
0.1842,-585459.5567,3.4763
0.1845,-585042.6521,3.4763
0.209,-547835.9905,3.4763
0.2236,-527873.0054,3.4763
0.2474,-499078.3439,3.4763
0.2689,-476878.0201,3.4763
0.2693,-476479.1995,3.4763
0.2756,-470719.953,3.4763
0.2787,-467915.028,3.4763
0.2811,-465888.9896,3.4763
0.2862,-461646.2242,3.4763
0.287,-460981.4485,3.4763
0.305,-447845.739,3.4763
0.3145,-441897.0787,3.4763
0.3198,-438913.8539,3.4763
0.3225,-437461.9202,3.4763
0.34,-429561.412,3.4763
0.3546,-424812.7528,3.4763
0.3766,-420854.1183,3.4763
0.3982,-420703.8436,3.4763
0.3919,-420368.6247,3.4763
0.3856,-420344.5301,3.4763
0.3862,-420333.7759,3.4763
0.3874,-420319.3532,3.4763
0.388,-420316.3111,3.4763
0.3882,-420315.9389,3.4763
0.3883,-420315.9189,3.4763
0.3878,-420317.0075,3.4763
0.3878,-420316.9199,3.4763
0.388,-420316.2198,3.4763
0.3882,-420315.9483,3.4763
0.3879,-420316.516,3.4763
0.3885,-420316.0388,3.4763
0.3884,-420316.0057,3.4763
0.389,-420317.7225,3.4763
0.3889,-420317.1825,3.4763
0.3883,-420315.9208,3.4763
0.3885,-420316.0395,3.4763
0.3885,-420316.1145,3.4763
0.3886,-420316.1966,3.4763
0.388,-420316.3144,3.4763
0.3884,-420315.96,3.4763
0.3886,-420316.2589,3.4763
0.3879,-420316.4178,3.4763
0.3883,-420315.9242,3.4763
0.3888,-420316.7844,3.4763
0.3875,-420318.5455,3.4763
0.3879,-420316.4818,3.4763
0.3876,-420317.6042,3.4763
0.3889,-420317.2612,3.4763
0.3886,-420316.3191,3.4763
0.3888,-420316.926,3.4763
0.3886,-420316.4108,3.4763
0.3885,-420316.0622,3.4763
0.3881,-420316.0718,3.4763
0.3879,-420316.4786,3.4763
0.3881,-420316.074,3.4763
0.388,-420316.2078,3.4763
0.3882,-420315.9334,3.4763
0.3882,-420315.9508,3.4763
0.3879,-420316.4718,3.4763
0.3881,-420316.0849,3.4763
0.3886,-420316.4024,3.4763
0.3888,-420316.7719,3.4763
0.389,-420318.0669,3.4763
0.3879,-420316.6227,3.4763
0.3878,-420316.7006,3.4763
0.3889,-420317.4418,3.4763
0.3881,-420316.0265,3.4763
0.387,-420322.8721,3.4763
0.3872,-420320.49,3.4763
0.3891,-420318.5928,3.4763
0.3881,-420316.0983,3.4763
0.3879,-420316.6881,3.4763
0.3884,-420315.9617,3.4763
0.3883,-420315.927,3.4763
0.3877,-420317.4083,3.4763
0.3879,-420316.457,3.4763
0.3881,-420316.1137,3.4763
0.3882,-420315.9623,3.4763
0.3888,-420316.755,3.4763
0.3877,-420317.4556,3.4763
0.3887,-420316.5651,3.4763
