Snow ratio,Log likelihood,Error std
0.44,-1565228.55,3.2
0.44,-1565243.42,3.2
0.44,-1565270.8,3.2
0.44,-1565306.37,3.2
0.44,-1565356.79,3.2
0.45,-1565421.79,3.2
0.44,-1565505.42,3.2
0.45,-1565529.35,3.2
0.44,-1565539.21,3.2
0.45,-1565637.03,3.2
0.43,-1565916.93,3.2
0.45,-1565975.38,3.2
0.45,-1566137.27,3.2
0.43,-1566184.04,3.2
0.43,-1566209.24,3.2
0.43,-1566745.64,3.2
0.45,-1566841.05,3.2
0.45,-1566896.41,3.2
0.43,-1566901.15,3.2
0.45,-1566966.97,3.2
0.45,-1567202.22,3.2
0.45,-1567513.03,3.2
0.43,-1567678.09,3.2
0.43,-1567681.25,3.2
0.43,-1567903.78,3.2
0.46,-1568141.58,3.2
0.43,-1568185.66,3.2
0.43,-1568291.16,3.2
0.46,-1568348.22,3.2
0.46,-1569227.18,3.2
0.42,-1569409.92,3.2
0.42,-1569428.79,3.2
0.46,-1569700.99,3.2
0.42,-1569876.04,3.2
0.46,-1569914.13,3.2
0.42,-1570347.33,3.2
0.42,-1570908.03,3.2
0.42,-1571334.26,3.2
0.42,-1571629.29,3.2
0.42,-1572236.32,3.2
0.42,-1572691.86,3.2
0.42,-1572844.2,3.2
0.42,-1573178.28,3.2
0.47,-1573678.74,3.2
0.47,-1574160.92,3.2
0.47,-1574291.08,3.2
0.42,-1574456.18,3.2
0.47,-1574754.77,3.2
0.47,-1574925.91,3.2
0.47,-1575647.44,3.2
0.47,-1575795.61,3.2
0.41,-1576056.25,3.2
0.47,-1576121.47,3.2
0.41,-1576509.57,3.2
0.41,-1576937.93,3.2
0.47,-1577510.16,3.2
0.41,-1577898.1,3.2
0.47,-1578155.84,3.2
0.41,-1578365.45,3.2
0.41,-1578590.29,3.2
0.41,-1581117.71,3.2
0.41,-1581170.43,3.2
0.41,-1581275.56,3.2
0.41,-1581387.67,3.2
0.48,-1581901.63,3.2
0.48,-1582381.92,3.2
0.41,-1582394.47,3.2
0.48,-1583571.92,3.2
0.41,-1584053.07,3.2
0.4,-1585041.26,3.2
0.4,-1585601.07,3.2
0.4,-1586312.79,3.2
0.4,-1586850.3,3.2
0.48,-1586985.12,3.2
0.4,-1587422.5,3.2
0.48,-1588241.52,3.2
0.4,-1591010.33,3.2
0.48,-1591223.72,3.2
