Snow ratio,Log likelihood,Error std
0.4648,-4265916.3106,1.8425
0.4476,-4265058.8457,1.8425
0.4418,-4257882.7283,1.8425
0.4251,-4253146.7443,1.8425
0.431,-4252133.1396,1.8425
0.4304,-4252099.4904,1.8425
0.4303,-4252097.2134,1.8425
0.4302,-4252095.8038,1.8425
0.4301,-4252095.4277,1.8425
0.4301,-4252095.4587,1.8425
0.4301,-4252095.4275,1.8425
0.4301,-4252095.3962,1.8425
0.4301,-4252095.4096,1.8425
0.4301,-4252095.3939,1.8425
0.4301,-4252095.4834,1.8425
0.4301,-4252095.5297,1.8425
0.43,-4252096.1122,1.8425
0.4303,-4252097.7444,1.8425
0.4299,-4252097.9416,1.8425
0.43,-4252096.3246,1.8425
0.4302,-4252095.9366,1.8425
0.4301,-4252095.432,1.8425
0.43,-4252095.6585,1.8425
0.4303,-4252096.4043,1.8425
0.4298,-4252100.1005,1.8425
0.4304,-4252097.9951,1.8425
0.4303,-4252097.0993,1.8425
0.4299,-4252097.0292,1.8425
0.4303,-4252096.9597,1.8425
0.4301,-4252095.4609,1.8425
