Snow ratio,Log likelihood,Error std
0.3,-415746.56,3.8
0.3,-415751.8,3.8
0.3,-415752.26,3.8
0.29,-415753.24,3.8
0.29,-415758.3,3.8
0.3,-415760.59,3.8
0.3,-415763.55,3.8
0.29,-415768.26,3.8
0.29,-415768.68,3.8
0.3,-415791.19,3.8
0.29,-415800.87,3.8
0.29,-415818.04,3.8
0.29,-415821.99,3.8
0.29,-415844.68,3.8
0.29,-415868.28,3.8
0.29,-415871.79,3.8
0.29,-415905.39,3.8
0.29,-415909.86,3.8
0.29,-415931.96,3.8
0.29,-415937.56,3.8
0.29,-415969.08,3.8
0.31,-415990.11,3.8
0.29,-416013.24,3.8
0.29,-416027.5,3.8
0.31,-416078.75,3.8
0.31,-416089.54,3.8
0.29,-416115.47,3.8
0.28,-416152.73,3.8
0.31,-416275.32,3.8
0.31,-416277.26,3.8
0.28,-416333.32,3.8
0.28,-416461.24,3.8
0.28,-416614.02,3.8
0.28,-416647.39,3.8
0.31,-416681.25,3.8
0.28,-416822.38,3.8
0.28,-416845.41,3.8
0.28,-416857.29,3.8
0.32,-416988.98,3.8
0.32,-416994.3,3.8
0.32,-417271.76,3.8
0.32,-417285.63,3.8
0.32,-417677.48,3.8
0.27,-417697.1,3.8
0.27,-417820.04,3.8
0.27,-417823.99,3.8
0.32,-417980.41,3.8
0.32,-418207.6,3.8
0.27,-418340.96,3.8
0.33,-418458.27,3.8
0.26,-418812.16,3.8
0.26,-418844.44,3.8
0.26,-418884.65,3.8
0.26,-418964.84,3.8
0.33,-419080.15,3.8
0.26,-419204.2,3.8
0.33,-419214.83,3.8
0.26,-419299.36,3.8
0.26,-419424.92,3.8
0.26,-420026.7,3.8
0.33,-420098.79,3.8
0.26,-420401.67,3.8
0.34,-420416.28,3.8
0.34,-420565.05,3.8
0.26,-420657.42,3.8
0.34,-420825.9,3.8
0.26,-420877.22,3.8
0.34,-421311.88,3.8
0.25,-421312.26,3.8
0.25,-421324.04,3.8
0.34,-421343.18,3.8
0.25,-422018.78,3.8
0.34,-422092.88,3.8
0.25,-422313.36,3.8
0.25,-422367.75,3.8
0.34,-422530.11,3.8
0.25,-422711.2,3.8
0.25,-422799.72,3.8
0.34,-423019.53,3.8
0.25,-423158.61,3.8
0.35,-423301.37,3.8
0.25,-423473.2,3.8
0.35,-423475.36,3.8
0.35,-423548.3,3.8
0.35,-423607.48,3.8
0.25,-423775.15,3.8
0.24,-424047.71,3.8
0.35,-424260.54,3.8
0.24,-424267.1,3.8
0.24,-424319.69,3.8
0.35,-424580.97,3.8
0.24,-424926.47,3.8
0.35,-425195.86,3.8
0.35,-425549.06,3.8
0.35,-425559.54,3.8
0.24,-425590.6,3.8
0.24,-425625.53,3.8
0.35,-425770.34,3.8
0.35,-425918.83,3.8
0.24,-425959.19,3.8
0.24,-426055.27,3.8
0.24,-426074.15,3.8
0.24,-426168.94,3.8
0.24,-426267.59,3.8
0.35,-426367.6,3.8
0.36,-426626.78,3.8
0.36,-426715.61,3.8
0.24,-426879.88,3.8
0.36,-427083.27,3.8
0.24,-427137.56,3.8
0.24,-427176.42,3.8
0.24,-427185.42,3.8
0.24,-427250.1,3.8
0.36,-427317.87,3.8
0.24,-427359.41,3.8
0.23,-427572.93,3.8
0.36,-427681.62,3.8
0.23,-427989.01,3.8
0.23,-428297.19,3.8
0.36,-428542.36,3.8
0.36,-428561.6,3.8
0.36,-428581.78,3.8
0.23,-428984.67,3.8
0.23,-428990.62,3.8
0.36,-429752.38,3.8
0.23,-429968.87,3.8
0.23,-430057.68,3.8
0.23,-430309.01,3.8
0.37,-430628.93,3.8
0.37,-430685.23,3.8
0.37,-430722.98,3.8
0.37,-431336.26,3.8
0.37,-431517.57,3.8
0.37,-431572.68,3.8
0.22,-432118.03,3.8
0.37,-432655.96,3.8
0.22,-432752.92,3.8
0.22,-432900.53,3.8
0.22,-433106.8,3.8
0.22,-433347.0,3.8
0.22,-433593.95,3.8
0.37,-433806.94,3.8
0.37,-434457.62,3.8
0.22,-434481.32,3.8
0.22,-434497.23,3.8
0.37,-434568.59,3.8
0.22,-434931.35,3.8
0.22,-435361.01,3.8
0.38,-435419.89,3.8
0.22,-435421.23,3.8
0.38,-435832.72,3.8
0.38,-435932.57,3.8
0.22,-435934.96,3.8
0.22,-436077.7,3.8
0.38,-436081.98,3.8
0.38,-436163.48,3.8
0.21,-436436.61,3.8
0.21,-436674.87,3.8
0.21,-436767.03,3.8
0.38,-436803.71,3.8
0.21,-436952.35,3.8
0.21,-436967.81,3.8
0.38,-437245.14,3.8
0.21,-437326.64,3.8
0.21,-437501.0,3.8
0.38,-438256.67,3.8
0.38,-438779.4,3.8
0.21,-438830.13,3.8
0.21,-438978.04,3.8
0.38,-439543.88,3.8
0.21,-439593.92,3.8
0.38,-439786.88,3.8
0.39,-440174.19,3.8
0.39,-440959.38,3.8
0.21,-440997.85,3.8
0.21,-441055.82,3.8
0.2,-442351.62,3.8
0.2,-442368.61,3.8
0.2,-443093.76,3.8
0.39,-443370.63,3.8
0.39,-443443.78,3.8
0.2,-443459.7,3.8
0.2,-443534.05,3.8
0.2,-443922.53,3.8
0.39,-445020.33,3.8
0.2,-445246.13,3.8
0.2,-446427.86,3.8
0.4,-446649.11,3.8
0.4,-446858.88,3.8
0.4,-446885.68,3.8
0.4,-447008.53,3.8
0.4,-447662.96,3.8
0.19,-448639.91,3.8
0.4,-448657.81,3.8
0.19,-449493.0,3.8
0.19,-449538.04,3.8
0.4,-449722.49,3.8
0.19,-449953.23,3.8
0.19,-450050.91,3.8
0.4,-450457.63,3.8
0.19,-451181.5,3.8
0.4,-451757.0,3.8
0.4,-451855.48,3.8
0.41,-452315.42,3.8
0.19,-453462.6,3.8
0.41,-453818.49,3.8
0.19,-454001.28,3.8
0.18,-454390.48,3.8
0.41,-454743.97,3.8
0.41,-454797.17,3.8
0.41,-455399.91,3.8
0.18,-455474.21,3.8
0.41,-455591.15,3.8
0.41,-458359.71,3.8
0.18,-458798.53,3.8
0.18,-458864.85,3.8
0.18,-458920.15,3.8
0.41,-459317.54,3.8
0.42,-459334.44,3.8
0.18,-460233.15,3.8
0.42,-460407.28,3.8
0.42,-460677.14,3.8
0.42,-461720.7,3.8
0.17,-462502.69,3.8
0.17,-462612.55,3.8
0.17,-463296.43,3.8
0.17,-463547.3,3.8
0.42,-464178.0,3.8
0.42,-464509.21,3.8
0.17,-464909.43,3.8
0.42,-465312.73,3.8
0.17,-465339.64,3.8
0.17,-465518.81,3.8
0.42,-465753.28,3.8
0.17,-465825.72,3.8
0.42,-466191.93,3.8
0.42,-466367.33,3.8
0.42,-466546.56,3.8
0.43,-467045.35,3.8
0.17,-467812.8,3.8
0.17,-468462.91,3.8
0.43,-468511.26,3.8
0.43,-468680.46,3.8
0.43,-469207.74,3.8
0.16,-469285.65,3.8
0.43,-469833.58,3.8
0.16,-470037.82,3.8
0.43,-470093.4,3.8
0.16,-470719.79,3.8
0.16,-471730.58,3.8
0.16,-471928.5,3.8
0.43,-472659.59,3.8
0.16,-472768.99,3.8
0.16,-473187.9,3.8
0.16,-473389.0,3.8
0.16,-474741.6,3.8
0.44,-475468.26,3.8
0.16,-475583.08,3.8
0.16,-475847.34,3.8
0.44,-475917.45,3.8
0.44,-475944.59,3.8
0.16,-476958.51,3.8
0.44,-477007.92,3.8
0.44,-477124.24,3.8
0.15,-478037.53,3.8
0.44,-478103.47,3.8
0.44,-479181.33,3.8
0.44,-479344.19,3.8
0.44,-479706.62,3.8
0.44,-479894.79,3.8
0.15,-480341.64,3.8
0.44,-480489.74,3.8
0.15,-480501.17,3.8
0.44,-481156.77,3.8
0.44,-482184.48,3.8
0.44,-483494.59,3.8
0.44,-483983.68,3.8
0.15,-484110.3,3.8
0.45,-484426.16,3.8
0.45,-485327.86,3.8
0.15,-485351.29,3.8
0.45,-485487.57,3.8
0.15,-485567.24,3.8
0.45,-485579.99,3.8
0.45,-485859.78,3.8
0.15,-486193.43,3.8
0.15,-486378.54,3.8
0.14,-488211.58,3.8
0.14,-488305.88,3.8
0.45,-488498.74,3.8
0.14,-488653.83,3.8
0.45,-489316.96,3.8
0.14,-489333.48,3.8
0.14,-489858.17,3.8
0.45,-490412.0,3.8
0.45,-490741.4,3.8
0.45,-490835.28,3.8
0.14,-491040.66,3.8
0.45,-491301.65,3.8
0.14,-491994.31,3.8
0.14,-492387.18,3.8
0.14,-492671.26,3.8
0.14,-493017.11,3.8
0.45,-493633.37,3.8
0.46,-493736.05,3.8
0.14,-493908.69,3.8
0.46,-494169.14,3.8
0.14,-494444.71,3.8
0.46,-494975.19,3.8
0.46,-495382.94,3.8
0.46,-495492.78,3.8
0.13,-497063.16,3.8
0.13,-497103.22,3.8
0.46,-497141.41,3.8
0.13,-498278.51,3.8
0.46,-498544.02,3.8
0.13,-498793.72,3.8
0.46,-498839.32,3.8
0.13,-499634.83,3.8
0.13,-499853.18,3.8
0.46,-499868.76,3.8
0.46,-501196.5,3.8
0.13,-501215.8,3.8
0.13,-501244.67,3.8
0.13,-501605.84,3.8
0.46,-502078.34,3.8
0.46,-502354.34,3.8
0.13,-502456.82,3.8
0.46,-502896.39,3.8
0.13,-503043.56,3.8
0.13,-503475.6,3.8
0.13,-503725.96,3.8
0.13,-503816.73,3.8
0.13,-503916.89,3.8
0.13,-504952.11,3.8
0.47,-505293.24,3.8
0.12,-507115.57,3.8
0.12,-507592.25,3.8
0.47,-507996.02,3.8
0.47,-508263.12,3.8
0.47,-508377.37,3.8
0.12,-508723.83,3.8
0.47,-510403.44,3.8
0.12,-511030.04,3.8
0.47,-511146.18,3.8
0.47,-511690.03,3.8
0.12,-513783.93,3.8
0.12,-514336.29,3.8
0.12,-514802.41,3.8
0.48,-516318.75,3.8
0.48,-517377.12,3.8
0.48,-517690.6,3.8
0.48,-518092.31,3.8
0.11,-518336.85,3.8
0.11,-518635.64,3.8
0.11,-518905.28,3.8
0.11,-519368.01,3.8
0.48,-519400.12,3.8
0.48,-520433.89,3.8
0.11,-520565.18,3.8
0.11,-521335.32,3.8
0.11,-523192.19,3.8
0.48,-523947.94,3.8
0.48,-524271.79,3.8
0.11,-525615.13,3.8
0.11,-525835.52,3.8
0.49,-526005.51,3.8
0.49,-526749.3,3.8
0.49,-528182.06,3.8
0.49,-529457.33,3.8
0.49,-529588.75,3.8
0.49,-529923.22,3.8
0.1,-530079.5,3.8
0.1,-530372.58,3.8
0.1,-531265.96,3.8
0.49,-531450.58,3.8
0.1,-531485.87,3.8
0.1,-531570.25,3.8
0.49,-531988.11,3.8
0.49,-532162.09,3.8
0.1,-532186.04,3.8
0.49,-533432.2,3.8
0.1,-534149.39,3.8
0.49,-534502.39,3.8
0.1,-534924.85,3.8
0.1,-535166.86,3.8
0.49,-536576.57,3.8
0.49,-536806.7,3.8
0.49,-537032.75,3.8
0.1,-538252.56,3.8
0.5,-538521.37,3.8
0.1,-539431.33,3.8
0.5,-539630.39,3.8
0.1,-539852.65,3.8
0.1,-540267.77,3.8
0.5,-540871.41,3.8
0.1,-541076.81,3.8
0.5,-541894.73,3.8
0.09,-542102.53,3.8
0.5,-542356.99,3.8
0.5,-542907.03,3.8
0.09,-543262.87,3.8
0.09,-543657.45,3.8
0.5,-543746.54,3.8
0.09,-544255.22,3.8
0.09,-544711.53,3.8
0.5,-544723.92,3.8
0.09,-545720.06,3.8
0.5,-545819.41,3.8
0.5,-546770.19,3.8
0.5,-547679.99,3.8
0.5,-549824.1,3.8
0.09,-550190.69,3.8
0.51,-551128.87,3.8
0.51,-551402.5,3.8
0.09,-551559.53,3.8
0.09,-552772.7,3.8
0.51,-552986.68,3.8
0.51,-553039.49,3.8
0.51,-554447.86,3.8
0.08,-555494.87,3.8
0.08,-556023.1,3.8
0.51,-556234.45,3.8
0.08,-558316.23,3.8
0.08,-558384.59,3.8
0.51,-558424.9,3.8
0.08,-560131.88,3.8
0.51,-561033.83,3.8
0.51,-561081.87,3.8
0.51,-561409.77,3.8
0.08,-561933.41,3.8
0.51,-561990.17,3.8
0.51,-562177.83,3.8
0.08,-562717.57,3.8
0.51,-563284.85,3.8
0.08,-563440.02,3.8
0.52,-564795.26,3.8
0.52,-565146.93,3.8
0.52,-565422.22,3.8
0.52,-565988.17,3.8
0.52,-566296.24,3.8
0.52,-566322.32,3.8
0.52,-566666.13,3.8
0.52,-566783.34,3.8
0.52,-566818.06,3.8
0.08,-567073.97,3.8
0.07,-568357.21,3.8
0.52,-569015.03,3.8
0.52,-569187.82,3.8
0.07,-570488.63,3.8
0.52,-570575.34,3.8
0.07,-572612.0,3.8
0.07,-572694.29,3.8
0.07,-574022.4,3.8
0.52,-574111.82,3.8
0.52,-574847.39,3.8
0.52,-575339.42,3.8
0.52,-575845.28,3.8
0.07,-578132.43,3.8
0.53,-578838.32,3.8
0.53,-580069.32,3.8
0.07,-580321.09,3.8
0.07,-580931.43,3.8
0.53,-582237.12,3.8
0.06,-582913.81,3.8
0.53,-583106.27,3.8
0.06,-583947.26,3.8
0.06,-584975.17,3.8
0.06,-587073.7,3.8
0.06,-587756.33,3.8
0.06,-588008.3,3.8
0.06,-588421.43,3.8
0.53,-588702.33,3.8
0.53,-588872.04,3.8
0.06,-589538.75,3.8
0.53,-590479.13,3.8
0.54,-592518.9,3.8
0.54,-592956.28,3.8
0.54,-593360.3,3.8
0.54,-593691.98,3.8
0.54,-594083.51,3.8
0.06,-595749.44,3.8
0.54,-596982.49,3.8
0.54,-597186.94,3.8
0.05,-597398.79,3.8
0.05,-598255.04,3.8
0.05,-599903.08,3.8
0.05,-602505.06,3.8
0.54,-605094.44,3.8
0.54,-605137.83,3.8
0.05,-606282.57,3.8
0.05,-606579.88,3.8
0.54,-606659.88,3.8
0.55,-607644.57,3.8
0.55,-607723.69,3.8
0.05,-607906.1,3.8
0.55,-607961.56,3.8
0.55,-608213.62,3.8
0.55,-608744.62,3.8
0.05,-609673.3,3.8
0.05,-609838.53,3.8
0.05,-610106.67,3.8
0.55,-610237.05,3.8
0.05,-610276.54,3.8
0.05,-610866.12,3.8
0.55,-611419.94,3.8
0.04,-612347.97,3.8
0.04,-612943.68,3.8
0.04,-613120.68,3.8
0.04,-613300.54,3.8
0.55,-613687.17,3.8
0.04,-613883.88,3.8
0.04,-614219.13,3.8
0.55,-614567.34,3.8
0.55,-616573.66,3.8
0.55,-617373.33,3.8
0.04,-619744.67,3.8
0.04,-619974.32,3.8
0.55,-621079.4,3.8
0.04,-621192.03,3.8
0.04,-622300.61,3.8
0.04,-624452.27,3.8
0.56,-625324.32,3.8
0.04,-626038.58,3.8
0.56,-627097.69,3.8
0.56,-627233.48,3.8
0.56,-627782.77,3.8
0.03,-629469.26,3.8
0.03,-630196.72,3.8
0.03,-631790.31,3.8
0.03,-632067.17,3.8
0.03,-632294.34,3.8
0.03,-632419.18,3.8
0.56,-632534.07,3.8
0.56,-632850.47,3.8
0.03,-633107.1,3.8
0.56,-633299.15,3.8
0.03,-633886.91,3.8
0.56,-635055.45,3.8
0.03,-637009.36,3.8
0.56,-638011.63,3.8
0.56,-638510.18,3.8
0.03,-639694.37,3.8
0.03,-639771.33,3.8
0.03,-640156.26,3.8
0.57,-641433.93,3.8
0.03,-642093.5,3.8
0.57,-642714.42,3.8
0.57,-645329.46,3.8
0.02,-645366.96,3.8
0.02,-645415.44,3.8
0.02,-645495.84,3.8
0.57,-648672.08,3.8
0.02,-650967.51,3.8
0.57,-651124.2,3.8
0.57,-652305.8,3.8
0.02,-653683.68,3.8
0.57,-653727.07,3.8
0.57,-654171.37,3.8
0.02,-655416.19,3.8
0.58,-657192.83,3.8
0.58,-657355.36,3.8
0.58,-657372.12,3.8
0.02,-659226.7,3.8
0.58,-661365.31,3.8
0.01,-663683.62,3.8
0.58,-665303.61,3.8
0.01,-666480.44,3.8
0.01,-667317.23,3.8
0.01,-667598.37,3.8
0.01,-668493.4,3.8
0.58,-670167.06,3.8
0.58,-670236.67,3.8
0.01,-670263.11,3.8
0.58,-670780.01,3.8
0.01,-670968.32,3.8
0.01,-673098.47,3.8
0.01,-673173.15,3.8
0.01,-673329.34,3.8
0.01,-674957.24,3.8
0.59,-677680.2,3.8
0.59,-679654.18,3.8
0.59,-679996.61,3.8
0.0,-681345.6,3.8
0.0,-682482.8,3.8
0.0,-683323.65,3.8
0.59,-684643.69,3.8
0.0,-686854.11,3.8
0.59,-687078.54,3.8
0.59,-691285.94,3.8
0.6,-694996.68,3.8
0.6,-695498.09,3.8
0.6,-696678.56,3.8
0.6,-701178.15,3.8
0.6,-703630.61,3.8
0.6,-703952.4,3.8
0.6,-704292.97,3.8
0.6,-707587.23,3.8
0.6,-710394.02,3.8
0.61,-713714.55,3.8
0.61,-715556.66,3.8
0.61,-718006.94,3.8
0.61,-720382.94,3.8
0.61,-726758.18,3.8
0.61,-727487.26,3.8
0.61,-727540.94,3.8
0.61,-728626.55,3.8
0.61,-729250.03,3.8
0.61,-729881.08,3.8
0.62,-731742.27,3.8
0.62,-731870.98,3.8
0.62,-732956.11,3.8
0.62,-733186.05,3.8
0.62,-737394.12,3.8
