Snow ratio,Log likelihood,Error std
0.5194,-2071971.2471,2.3996
0.5,-1866581.3542,2.3996
0.4752,-1751603.5093,2.3996
0.4652,-1707513.4542,2.3996
0.4473,-1633103.7088,2.3996
0.4322,-1574231.7738,2.3996
0.426,-1551284.5486,2.3996
0.4146,-1510272.8649,2.3996
0.4145,-1509896.9005,2.3996
0.3909,-1431393.3257,2.3996
0.3895,-1427147.7357,2.3996
0.3746,-1382127.796,2.3996
0.3637,-1351810.4644,2.3996
0.3536,-1325001.5902,2.3996
0.3302,-1269399.8668,2.3996
0.3172,-1242027.5724,2.3996
0.3137,-1235161.9487,2.3996
0.2992,-1208743.6848,2.3996
0.2839,-1184242.3024,2.3996
0.2771,-1174571.15,2.3996
0.2753,-1172109.0526,2.3996
0.2633,-1157104.1156,2.3996
0.245,-1138493.1019,2.3996
0.2314,-1128100.7422,2.3996
0.215,-1119306.2574,2.3996
0.2132,-1118585.2496,2.3996
0.2103,-1117583.7169,2.3996
0.197,-1114492.9233,2.3996
0.1817,-1114362.8552,2.3996
0.1822,-1114309.8695,2.3996
0.1841,-1114141.1164,2.3996
0.1897,-1113978.9611,2.3996
0.1895,-1113976.8368,2.3996
0.1891,-1113973.6615,2.3996
0.1889,-1113972.736,2.3996
0.189,-1113972.9542,2.3996
0.189,-1113973.0254,2.3996
0.1886,-1113972.8957,2.3996
0.1886,-1113972.9022,2.3996
0.1886,-1113972.9226,2.3996
0.1889,-1113972.7176,2.3996
0.1888,-1113972.7103,2.3996
0.1889,-1113972.7856,2.3996
0.1887,-1113972.7052,2.3996
0.1884,-1113973.8274,2.3996
0.1886,-1113972.8526,2.3996
0.1888,-1113972.7072,2.3996
0.1891,-1113973.3659,2.3996
0.1886,-1113972.9938,2.3996
0.1887,-1113972.7537,2.3996
0.1887,-1113972.7564,2.3996
0.1886,-1113972.9684,2.3996
0.1892,-1113974.1376,2.3996
0.1892,-1113973.9317,2.3996
0.1886,-1113973.022,2.3996
0.1887,-1113972.7002,2.3996
0.1887,-1113972.8109,2.3996
0.1889,-1113972.7969,2.3996
0.189,-1113973.0746,2.3996
0.1889,-1113972.8911,2.3996
0.1886,-1113973.0704,2.3996
0.1888,-1113972.6874,2.3996
0.1889,-1113972.8796,2.3996
0.1886,-1113972.8815,2.3996
0.1892,-1113974.1332,2.3996
0.1883,-1113974.1785,2.3996
0.1891,-1113973.5584,2.3996
0.1881,-1113976.6846,2.3996
0.1883,-1113974.3258,2.3996
0.1884,-1113973.8393,2.3996
0.1885,-1113973.346,2.3996
0.1891,-1113973.3427,2.3996
0.1889,-1113972.773,2.3996
0.1888,-1113972.7071,2.3996
0.1886,-1113972.8715,2.3996
0.189,-1113972.9161,2.3996
0.1893,-1113974.4607,2.3996
0.1893,-1113974.4399,2.3996
0.1889,-1113972.736,2.3996
0.1889,-1113972.7934,2.3996
0.1885,-1113973.2316,2.3996
0.1886,-1113972.9877,2.3996
0.1886,-1113973.0439,2.3996
0.1885,-1113973.1739,2.3996
0.1889,-1113972.8115,2.3996
0.1889,-1113972.7909,2.3996
0.1888,-1113972.6884,2.3996
0.1891,-1113973.3338,2.3996
