Lambda value,Log likelihood,Error std,Residual
0.4344,-15614230.0039,0.4123,-2.2426
0.4344,-15614230.0039,0.4123,-2.4182
0.4344,-15614230.0039,0.4123,-2.2677
0.4344,-15614230.0039,0.4123,-2.57
0.4344,-15614230.0039,0.4123,-2.4491
0.4344,-15614230.0039,0.4123,-2.4603
0.4344,-15614230.0039,0.4123,-2.3084
0.4344,-15614230.0039,0.4123,-2.3858
0.4344,-15614230.0039,0.4123,-2.2703
0.4344,-15614230.0039,0.4123,-2.2901
0.4344,-15614230.0039,0.4123,-2.323
0.4344,-15614230.0039,0.4123,-2.4438
0.4344,-15614230.0039,0.4123,-2.3369
0.4202,-15050400.4954,0.4123,-2.1994
0.4143,-14315845.7422,0.4123,-2.1418
0.4028,-12915514.47,0.4123,-2.0275
0.3927,-11753921.6979,0.4123,-1.9276
0.3785,-10213133.1792,0.4123,-1.7863
0.375,-9856416.7514,0.4123,-1.752
0.3619,-8567435.5202,0.4123,-1.6218
0.3583,-8236418.3816,0.4123,-1.5866
0.3583,-8236418.3816,0.4123,-1.7047
0.3583,-8236418.3816,0.4123,-1.8248
0.3379,-6474522.0109,0.4123,-1.3844
0.3379,-6474522.0109,0.4123,-1.4648
0.3359,-6309062.4535,0.4123,-1.3638
0.3359,-6309062.4535,0.4123,-1.391
0.3359,-6309062.4535,0.4123,-1.5327
0.3359,-6309062.4535,0.4123,-1.5525
0.3206,-5167176.7019,0.4123,-1.2125
0.3206,-5167176.7019,0.4123,-1.2979
0.3206,-5167176.7019,0.4123,-1.2881
0.2978,-3712927.1576,0.4123,-0.9863
0.2917,-3378073.6929,0.4123,-0.9263
0.2684,-2285461.4368,0.4123,-0.6949
0.2556,-1820983.3676,0.4123,-0.5681
0.2556,-1820983.3676,0.4123,-0.738
0.2404,-1391981.7157,0.4123,-0.4172
0.2404,-1391981.7157,0.4123,-0.632
0.2404,-1391981.7157,0.4123,-0.5214
0.2217,-1049053.8007,0.4123,-0.2317
0.2178,-1004000.8133,0.4123,-0.1938
0.2082,-928033.6112,0.4123,-0.0981
0.2082,-928033.6112,0.4123,-0.126
0.2033,-910183.8505,0.4123,-0.0495
0.2033,-910183.8505,0.4123,0.0376
0.2033,-910183.8505,0.4123,-0.1807
0.1966,-908288.6837,0.4123,0.0163
0.1966,-908288.6837,0.4123,0.2337
0.1966,-908288.6837,0.4123,-0.161
0.1966,-908288.6837,0.4123,-0.207
0.1966,-908288.6837,0.4123,0.1173
0.1966,-908288.6837,0.4123,-0.095
0.1966,-908288.6837,0.4123,0.1619
0.1966,-908288.6837,0.4123,-0.1268
0.1966,-908288.6837,0.4123,0.0252
0.2019,-907646.5672,0.4123,-0.0355
0.2019,-907646.5672,0.4123,0.1136
0.2019,-907646.5672,0.4123,-0.2736
0.2019,-907646.5672,0.4123,0.092
0.2019,-907646.5672,0.4123,-0.1818
0.2019,-907646.5672,0.4123,-0.1687
0.2019,-907646.5672,0.4123,0.0821
0.2019,-907646.5672,0.4123,-0.0634
0.2019,-907646.5672,0.4123,0.091
0.2019,-907646.5672,0.4123,0.0332
0.198,-906544.1619,0.4123,0.0023
0.198,-906544.1619,0.4123,-0.0497
0.198,-906544.1619,0.4123,0.0198
0.198,-906544.1619,0.4123,0.1767
0.198,-906544.1619,0.4123,0.1517
0.198,-906544.1619,0.4123,0.0068
0.198,-906544.1619,0.4123,-0.0456
0.198,-906544.1619,0.4123,0.1298
0.198,-906544.1619,0.4123,0.018
0.198,-906544.1619,0.4123,0.0095
0.198,-906544.1619,0.4123,0.102
0.2001,-906081.0192,0.4123,-0.0179
0.2001,-906081.0192,0.4123,-0.1235
0.2001,-906081.0192,0.4123,0.2116
0.2001,-906081.0192,0.4123,0.1277
0.2001,-906081.0192,0.4123,-0.1108
0.2001,-906081.0192,0.4123,-0.2012
0.2001,-906081.0192,0.4123,0.1357
0.2001,-906081.0192,0.4123,-0.2605
0.2001,-906081.0192,0.4123,0.1886
0.2001,-906081.0192,0.4123,-0.1937
0.2001,-906081.0192,0.4123,0.225
0.2001,-906081.0192,0.4123,0.0843
0.2001,-906081.0192,0.4123,0.1765
0.2001,-906081.0192,0.4123,0.2283
0.2001,-906081.0192,0.4123,-0.0431
0.2001,-906081.0192,0.4123,0.1308
0.2001,-906081.0192,0.4123,0.1719
0.2001,-906081.0192,0.4123,0.1342
0.2001,-906081.0192,0.4123,-0.0037
0.2001,-906081.0192,0.4123,0.1891
0.2001,-906081.0192,0.4123,0.1271
0.2001,-906081.0192,0.4123,0.0063
0.2001,-906081.0192,0.4123,-0.1301
0.2001,-906081.0192,0.4123,0.0431
0.2001,-906081.0192,0.4123,-0.0369
0.2001,-906081.0192,0.4123,0.0305
0.2001,-906081.0192,0.4123,0.1339
0.2001,-906081.0192,0.4123,-0.2236
0.2001,-906081.0192,0.4123,-0.0564
0.2001,-906081.0192,0.4123,0.1628
0.2001,-906081.0192,0.4123,-0.0904
0.2001,-906081.0192,0.4123,-0.1477
0.2001,-906081.0192,0.4123,0.1111
0.2001,-906081.0192,0.4123,-0.1458
0.2001,-906081.0192,0.4123,-0.118
0.2001,-906081.0192,0.4123,0.0137
0.2001,-906081.0192,0.4123,-0.1012
0.2001,-906081.0192,0.4123,0.112
0.2001,-906081.0192,0.4123,-0.2015
0.2001,-906081.0192,0.4123,0.1134
0.2001,-906081.0192,0.4123,-0.0221
0.2001,-906081.0192,0.4123,0.1215
0.2001,-906081.0192,0.4123,0.1849
0.2001,-906081.0192,0.4123,-0.0623
0.2001,-906081.0192,0.4123,0.1531
0.2001,-906081.0192,0.4123,-0.0841
0.2001,-906081.0192,0.4123,-0.0255
0.2001,-906081.0192,0.4123,0.2049
0.2001,-906081.0192,0.4123,0.1827
0.2001,-906081.0192,0.4123,-0.057
0.2001,-906081.0192,0.4123,0.1006
0.2001,-906081.0192,0.4123,0.0135
0.2001,-906081.0192,0.4123,-0.2269
0.2001,-906081.0192,0.4123,0.1
0.2001,-906081.0192,0.4123,0.1829
0.2001,-906081.0192,0.4123,-0.0835
0.2001,-906081.0192,0.4123,-0.0031
0.2001,-906081.0192,0.4123,0.0642
0.2001,-906081.0192,0.4123,-0.0357
0.2001,-906081.0192,0.4123,-0.1845
0.1999,-906018.4533,0.4123,-0.0159
0.1999,-906018.4533,0.4123,-0.0652
0.1999,-906018.4533,0.4123,0.1242
0.1999,-906018.4533,0.4123,-0.2253
0.1999,-906018.4533,0.4123,-0.0814
0.1999,-906018.4533,0.4123,-0.1334
0.1999,-906018.4533,0.4123,0.1812
0.1999,-906018.4533,0.4123,0.0123
0.1999,-906018.4533,0.4123,0.203
0.1999,-906018.4533,0.4123,0.089
0.1999,-906018.4533,0.4123,0.15
0.1999,-906018.4533,0.4123,-0.2484
0.1999,-906018.4533,0.4123,0.0335
0.1999,-906018.4533,0.4123,0.191
0.1999,-906018.4533,0.4123,-0.0468
0.1999,-906018.4533,0.4123,0.1191
0.1999,-906018.4533,0.4123,-0.001
0.1999,-906018.4533,0.4123,0.1313
0.1999,-906018.4533,0.4123,0.2238
0.1999,-906018.4533,0.4123,-0.0588
