Lambda value,Log likelihood,Error std,Residual
0.2495,-3414512.4867,3.6056,1.2122
0.2495,-3414512.4867,3.6056,1.217
0.2645,-3390521.4488,3.6056,1.0901
0.2645,-3390521.4488,3.6056,1.284
0.2741,-3372182.6171,3.6056,0.9905
0.2741,-3372182.6171,3.6056,1.1557
0.2897,-3344913.45,3.6056,0.8292
0.2976,-3332060.0202,3.6056,0.7463
0.3193,-3301127.8045,3.6056,0.5215
0.3318,-3285871.022,3.6056,0.3915
0.3318,-3285871.022,3.6056,0.5211
0.352,-3265314.4399,3.6056,0.1816
0.3695,-3251636.0684,3.6056,0.0008
0.3722,-3249828.0889,3.6056,-0.0275
0.3722,-3249828.0889,3.6056,0.2185
0.3722,-3249828.0889,3.6056,0.1944
0.3722,-3249828.0889,3.6056,0.1712
0.3914,-3239696.757,3.6056,-0.2274
0.3914,-3239696.757,3.6056,-0.1512
0.3914,-3239696.757,3.6056,-0.2248
0.4152,-3233478.9569,3.6056,-0.4738
0.4221,-3232972.4353,3.6056,-0.5452
0.4221,-3232972.4353,3.6056,-0.4647
0.4221,-3232972.4353,3.6056,-0.7713
0.4221,-3232972.4353,3.6056,-0.4589
0.4245,-3232932.4486,3.6056,-0.5708
0.4245,-3232932.4486,3.6056,-0.5011
0.4245,-3232932.4486,3.6056,-0.6751
0.4245,-3232932.4486,3.6056,-0.685
0.4245,-3232932.4486,3.6056,-0.6564
0.4245,-3232932.4486,3.6056,-0.4291
0.4245,-3232932.4486,3.6056,-0.3124
0.4245,-3232932.4486,3.6056,-0.5375
0.4245,-3232932.4486,3.6056,-0.5643
0.4247,-3232932.5009,3.6056,-0.573
0.4247,-3232932.5009,3.6056,-0.6112
0.4247,-3232932.5009,3.6056,-0.4165
0.4247,-3232932.5009,3.6056,-0.3274
0.4247,-3232932.5009,3.6056,-0.7929
0.4247,-3232932.5009,3.6056,-0.4189
0.4247,-3232932.5009,3.6056,-0.6317
0.4247,-3232932.5009,3.6056,-0.7788
0.4247,-3232932.5009,3.6056,-0.5314
0.4247,-3232932.5009,3.6056,-0.5624
0.4247,-3232932.5009,3.6056,-0.5793
0.4247,-3232932.5009,3.6056,-0.4459
0.4247,-3232932.5009,3.6056,-0.48
0.4247,-3232932.5009,3.6056,-0.6927
0.4247,-3232932.5009,3.6056,-0.7563
0.4247,-3232932.5009,3.6056,-0.591
0.4247,-3232932.5009,3.6056,-0.3385
0.4247,-3232932.5009,3.6056,-0.7323
0.4247,-3232932.5009,3.6056,-0.5802
0.4247,-3232932.5009,3.6056,-0.7694
0.4247,-3232932.5009,3.6056,-0.4321
0.4247,-3232932.5009,3.6056,-0.3847
0.4247,-3232932.5009,3.6056,-0.3774
0.4247,-3232932.5009,3.6056,-0.5194
0.4247,-3232932.5009,3.6056,-0.3774
0.4247,-3232932.5009,3.6056,-0.7307
0.4247,-3232932.5009,3.6056,-0.579
0.4247,-3232932.5009,3.6056,-0.5643
0.4247,-3232932.5009,3.6056,-0.5992
0.4247,-3232932.5009,3.6056,-0.6814
0.4247,-3232932.5009,3.6056,-0.5096
0.4247,-3232932.5009,3.6056,-0.5158
0.4247,-3232932.5009,3.6056,-0.4336
0.4247,-3232932.5009,3.6056,-0.4294
0.4247,-3232932.5009,3.6056,-0.3487
0.4247,-3232932.5009,3.6056,-0.4219
0.4247,-3232932.5009,3.6056,-0.6103
0.4247,-3232932.5009,3.6056,-0.5125
0.4247,-3232932.5009,3.6056,-0.6665
0.4247,-3232932.5009,3.6056,-0.7765
0.4247,-3232932.5009,3.6056,-0.3869
0.4247,-3232932.5009,3.6056,-0.6126
0.4247,-3232932.5009,3.6056,-0.3462
0.4247,-3232932.5009,3.6056,-0.6324
0.4247,-3232932.5009,3.6056,-0.51
0.4247,-3232932.5009,3.6056,-0.5958
0.4247,-3232932.5009,3.6056,-0.7977
0.4247,-3232932.5009,3.6056,-0.3722
0.4247,-3232932.5009,3.6056,-0.587
0.4247,-3232932.5009,3.6056,-0.5806
0.4247,-3232932.5009,3.6056,-0.478
0.4247,-3232932.5009,3.6056,-0.6356
0.4247,-3232932.5009,3.6056,-0.5324
0.4247,-3232932.5009,3.6056,-0.6164
0.4247,-3232932.5009,3.6056,-0.5423
0.4247,-3232932.5009,3.6056,-0.3755
0.4247,-3232932.5009,3.6056,-0.6368
0.4243,-3232932.953,3.6056,-0.5686
0.4243,-3232932.953,3.6056,-0.7196
0.4243,-3232932.953,3.6056,-0.7549
0.4243,-3232932.953,3.6056,-0.7222
0.4243,-3232932.953,3.6056,-0.591
0.4243,-3232932.953,3.6056,-0.416
0.4243,-3232932.953,3.6056,-0.7324
0.4243,-3232932.953,3.6056,-0.3538
0.4243,-3232932.953,3.6056,-0.4881
0.4243,-3232932.953,3.6056,-0.5182
0.4243,-3232932.953,3.6056,-0.7197
0.4243,-3232932.953,3.6056,-0.7785
0.4243,-3232932.953,3.6056,-0.7254
0.4243,-3232932.953,3.6056,-0.7094
0.4243,-3232932.953,3.6056,-0.7183
0.4243,-3232932.953,3.6056,-0.3936
0.4243,-3232932.953,3.6056,-0.7712
0.4243,-3232932.953,3.6056,-0.3888
0.4243,-3232932.953,3.6056,-0.3433
0.4243,-3232932.953,3.6056,-0.4276
0.4243,-3232932.953,3.6056,-0.4581
0.4243,-3232932.953,3.6056,-0.6743
0.4243,-3232932.953,3.6056,-0.7847
0.4243,-3232932.953,3.6056,-0.779
0.4243,-3232932.953,3.6056,-0.8251
0.4243,-3232932.953,3.6056,-0.5891
0.4243,-3232932.953,3.6056,-0.7709
0.4243,-3232932.953,3.6056,-0.7228
0.4243,-3232932.953,3.6056,-0.5917
0.4243,-3232932.953,3.6056,-0.6946
0.4243,-3232932.953,3.6056,-0.384
0.4243,-3232932.953,3.6056,-0.8232
0.4243,-3232932.953,3.6056,-0.785
0.4243,-3232932.953,3.6056,-0.4323
0.4243,-3232932.953,3.6056,-0.3351
0.4243,-3232932.953,3.6056,-0.7409
0.4243,-3232932.953,3.6056,-0.6508
0.4243,-3232932.953,3.6056,-0.8164
0.4243,-3232932.953,3.6056,-0.3102
0.4243,-3232932.953,3.6056,-0.4482
0.4243,-3232932.953,3.6056,-0.3816
0.4243,-3232932.953,3.6056,-0.6877
0.4243,-3232932.953,3.6056,-0.7616
0.4243,-3232932.953,3.6056,-0.4626
0.4243,-3232932.953,3.6056,-0.6797
0.4243,-3232932.953,3.6056,-0.7955
0.4243,-3232932.953,3.6056,-0.3815
0.4243,-3232932.953,3.6056,-0.6507
0.4243,-3232932.953,3.6056,-0.4554
0.4243,-3232932.953,3.6056,-0.3463
0.4243,-3232932.953,3.6056,-0.4112
0.4243,-3232932.953,3.6056,-0.7832
0.4243,-3232932.953,3.6056,-0.7471
0.4243,-3232932.953,3.6056,-0.7433
0.4243,-3232932.953,3.6056,-0.6263
0.4243,-3232932.953,3.6056,-0.6528
0.4243,-3232932.953,3.6056,-0.5288
0.4243,-3232932.953,3.6056,-0.6899
0.4243,-3232932.953,3.6056,-0.7372
0.4243,-3232932.953,3.6056,-0.4861
0.4243,-3232932.953,3.6056,-0.8061
0.4243,-3232932.953,3.6056,-0.6398
0.4243,-3232932.953,3.6056,-0.4401
0.4243,-3232932.953,3.6056,-0.8171
0.4243,-3232932.953,3.6056,-0.3451
0.4243,-3232932.953,3.6056,-0.4712
0.4243,-3232932.953,3.6056,-0.3846
0.4243,-3232932.953,3.6056,-0.7743
0.4243,-3232932.953,3.6056,-0.7352
0.4243,-3232932.953,3.6056,-0.7399
0.4243,-3232932.953,3.6056,-0.745
0.4243,-3232932.953,3.6056,-0.614
0.4243,-3232932.953,3.6056,-0.6372
0.4243,-3232932.953,3.6056,-0.6737
0.4243,-3232932.953,3.6056,-0.7344
0.4243,-3232932.953,3.6056,-0.7905
0.4243,-3232932.953,3.6056,-0.3567
0.4243,-3232932.953,3.6056,-0.708
0.4243,-3232932.953,3.6056,-0.3666
0.4243,-3232932.953,3.6056,-0.6351
0.4243,-3232932.953,3.6056,-0.4051
0.4243,-3232932.953,3.6056,-0.3675
0.4243,-3232932.953,3.6056,-0.7554
0.4243,-3232932.953,3.6056,-0.7498
0.4243,-3232932.953,3.6056,-0.7095
0.4243,-3232932.953,3.6056,-0.3991
0.4243,-3232932.953,3.6056,-0.552
0.4243,-3232932.953,3.6056,-0.7777
0.4243,-3232932.953,3.6056,-0.3209
0.4243,-3232932.953,3.6056,-0.6346
0.4243,-3232932.953,3.6056,-0.7702
0.4243,-3232932.953,3.6056,-0.5342
0.4243,-3232932.953,3.6056,-0.6536
0.4243,-3232932.953,3.6056,-0.4741
0.4243,-3232932.953,3.6056,-0.6678
0.4243,-3232932.953,3.6056,-0.5103
0.4243,-3232932.953,3.6056,-0.3976
0.4243,-3232932.953,3.6056,-0.6663
0.4243,-3232932.953,3.6056,-0.3347
0.4243,-3232932.953,3.6056,-0.4007
0.4243,-3232932.953,3.6056,-0.6043
0.4243,-3232932.953,3.6056,-0.4163
0.4243,-3232932.953,3.6056,-0.7611
0.4243,-3232932.953,3.6056,-0.6364
0.4243,-3232932.953,3.6056,-0.6253
0.4243,-3232932.953,3.6056,-0.5822
0.4243,-3232932.953,3.6056,-0.6579
0.4243,-3232932.953,3.6056,-0.5373
0.4243,-3232932.953,3.6056,-0.5414
0.4243,-3232932.953,3.6056,-0.5823
0.4243,-3232932.953,3.6056,-0.7657
0.4243,-3232932.953,3.6056,-0.7929
0.4243,-3232932.953,3.6056,-0.3738
0.4243,-3232932.953,3.6056,-0.3378
0.4243,-3232932.953,3.6056,-0.6024
0.4243,-3232932.953,3.6056,-0.4979
0.4243,-3232932.953,3.6056,-0.4494
0.4243,-3232932.953,3.6056,-0.5807
0.4243,-3232932.953,3.6056,-0.5132
0.4243,-3232932.953,3.6056,-0.5428
0.4243,-3232932.953,3.6056,-0.6354
0.4243,-3232932.953,3.6056,-0.3677
0.4243,-3232932.953,3.6056,-0.6423
0.4243,-3232932.953,3.6056,-0.6713
0.4243,-3232932.953,3.6056,-0.311
0.4243,-3232932.953,3.6056,-0.3654
0.4243,-3232932.953,3.6056,-0.6912
0.4243,-3232932.953,3.6056,-0.7519
0.4243,-3232932.953,3.6056,-0.6954
0.4243,-3232932.953,3.6056,-0.5267
0.4243,-3232932.953,3.6056,-0.3388
0.4243,-3232932.953,3.6056,-0.4645
0.4243,-3232932.953,3.6056,-0.5232
0.4243,-3232932.953,3.6056,-0.5231
0.4243,-3232932.953,3.6056,-0.5027
0.4243,-3232932.953,3.6056,-0.6105
0.4243,-3232932.953,3.6056,-0.7716
0.4243,-3232932.953,3.6056,-0.4257
0.4243,-3232932.953,3.6056,-0.5975
0.4243,-3232932.953,3.6056,-0.5941
0.4243,-3232932.953,3.6056,-0.3188
0.4243,-3232932.953,3.6056,-0.4441
0.4243,-3232932.953,3.6056,-0.6526
0.4243,-3232932.953,3.6056,-0.774
0.4243,-3232932.953,3.6056,-0.5476
0.4243,-3232932.953,3.6056,-0.7462
0.4243,-3232932.953,3.6056,-0.6126
0.4243,-3232932.953,3.6056,-0.6985
0.4243,-3232932.953,3.6056,-0.5352
0.4243,-3232932.953,3.6056,-0.4505
0.4243,-3232932.953,3.6056,-0.4243
0.4243,-3232932.953,3.6056,-0.6039
0.4243,-3232932.953,3.6056,-0.605
0.4243,-3232932.953,3.6056,-0.7785
0.4243,-3232932.953,3.6056,-0.8054
0.4243,-3232932.953,3.6056,-0.7541
0.4243,-3232932.953,3.6056,-0.5586
0.4243,-3232932.953,3.6056,-0.3329
0.4243,-3232932.953,3.6056,-0.7265
0.4243,-3232932.953,3.6056,-0.7042
0.4243,-3232932.953,3.6056,-0.6604
0.4243,-3232932.953,3.6056,-0.4928
0.4243,-3232932.953,3.6056,-0.3845
0.4243,-3232932.953,3.6056,-0.6235
0.4243,-3232932.953,3.6056,-0.4729
0.4243,-3232932.953,3.6056,-0.5137
0.4243,-3232932.953,3.6056,-0.5816
0.4243,-3232932.953,3.6056,-0.4586
0.4243,-3232932.953,3.6056,-0.7851
0.4243,-3232932.953,3.6056,-0.4918
0.4243,-3232932.953,3.6056,-0.6561
0.4243,-3232932.953,3.6056,-0.823
0.4243,-3232932.953,3.6056,-0.6514
0.4243,-3232932.953,3.6056,-0.605
0.4243,-3232932.953,3.6056,-0.6488
0.4243,-3232932.953,3.6056,-0.3674
0.4243,-3232932.953,3.6056,-0.3982
0.4243,-3232932.953,3.6056,-0.3315
0.4243,-3232932.953,3.6056,-0.471
0.4243,-3232932.953,3.6056,-0.8028
0.4243,-3232932.953,3.6056,-0.4758
0.4243,-3232932.953,3.6056,-0.5756
0.4243,-3232932.953,3.6056,-0.7468
0.4243,-3232932.953,3.6056,-0.3294
0.4243,-3232932.953,3.6056,-0.5293
0.4243,-3232932.953,3.6056,-0.6415
0.4243,-3232932.953,3.6056,-0.6806
0.4243,-3232932.953,3.6056,-0.6213
0.4243,-3232932.953,3.6056,-0.482
0.4243,-3232932.953,3.6056,-0.664
0.4243,-3232932.953,3.6056,-0.4688
0.4243,-3232932.953,3.6056,-0.7488
0.4243,-3232932.953,3.6056,-0.5565
0.4243,-3232932.953,3.6056,-0.721
0.4243,-3232932.953,3.6056,-0.7476
0.4243,-3232932.953,3.6056,-0.5493
0.4243,-3232932.953,3.6056,-0.6344
0.4243,-3232932.953,3.6056,-0.3992
0.4243,-3232932.953,3.6056,-0.546
0.4243,-3232932.953,3.6056,-0.5558
0.4243,-3232932.953,3.6056,-0.4214
0.4243,-3232932.953,3.6056,-0.7624
0.4243,-3232932.953,3.6056,-0.649
0.4243,-3232932.953,3.6056,-0.3907
0.4243,-3232932.953,3.6056,-0.7879
0.4243,-3232932.953,3.6056,-0.3359
0.4243,-3232932.953,3.6056,-0.5903
0.4243,-3232932.953,3.6056,-0.8002
0.4243,-3232932.953,3.6056,-0.516
0.4243,-3232932.953,3.6056,-0.4874
0.4243,-3232932.953,3.6056,-0.4836
0.4243,-3232932.953,3.6056,-0.3895
0.4243,-3232932.953,3.6056,-0.3977
0.4243,-3232932.953,3.6056,-0.3713
0.4243,-3232932.953,3.6056,-0.3984
0.4243,-3232932.953,3.6056,-0.8057
0.4243,-3232932.953,3.6056,-0.5598
0.4243,-3232932.953,3.6056,-0.6418
0.4243,-3232932.953,3.6056,-0.5814
0.4243,-3232932.953,3.6056,-0.3964
0.4243,-3232932.953,3.6056,-0.6144
0.4243,-3232932.953,3.6056,-0.374
0.4243,-3232932.953,3.6056,-0.8219
0.4243,-3232932.953,3.6056,-0.7562
0.4243,-3232932.953,3.6056,-0.5566
0.4243,-3232932.953,3.6056,-0.6233
0.4243,-3232932.953,3.6056,-0.6698
0.4243,-3232932.953,3.6056,-0.468
0.4243,-3232932.953,3.6056,-0.6259
0.4243,-3232932.953,3.6056,-0.4009
0.4243,-3232932.953,3.6056,-0.6871
0.4243,-3232932.953,3.6056,-0.6162
0.4243,-3232932.953,3.6056,-0.6155
0.4243,-3232932.953,3.6056,-0.5127
0.4243,-3232932.953,3.6056,-0.7916
0.4243,-3232932.953,3.6056,-0.5824
0.4243,-3232932.953,3.6056,-0.4074
0.4243,-3232932.953,3.6056,-0.6374
0.4243,-3232932.953,3.6056,-0.4201
0.4243,-3232932.953,3.6056,-0.3698
0.4243,-3232932.953,3.6056,-0.6808
0.4243,-3232932.953,3.6056,-0.7627
0.4243,-3232932.953,3.6056,-0.7226
0.4243,-3232932.953,3.6056,-0.3125
0.4243,-3232932.953,3.6056,-0.348
0.4243,-3232932.953,3.6056,-0.414
0.4243,-3232932.953,3.6056,-0.5298
0.4243,-3232932.953,3.6056,-0.5941
0.4243,-3232932.953,3.6056,-0.4652
0.4243,-3232932.953,3.6056,-0.6516
0.4243,-3232932.953,3.6056,-0.3112
0.4243,-3232932.953,3.6056,-0.7162
0.4243,-3232932.953,3.6056,-0.7561
0.4243,-3232932.953,3.6056,-0.4993
0.4243,-3232932.953,3.6056,-0.7227
0.4243,-3232932.953,3.6056,-0.5528
0.4243,-3232932.953,3.6056,-0.8197
0.4243,-3232932.953,3.6056,-0.69
0.4243,-3232932.953,3.6056,-0.6443
0.4243,-3232932.953,3.6056,-0.7196
0.4243,-3232932.953,3.6056,-0.3376
