Snow ratio,Log likelihood,Error std
0.62,-1029694.13,3.04
0.62,-1029694.18,3.04
0.62,-1029701.93,3.04
0.62,-1029743.31,3.04
0.62,-1029765.82,3.04
0.62,-1029772.17,3.04
0.62,-1029792.61,3.04
0.62,-1029801.37,3.04
0.62,-1029810.71,3.04
0.62,-1029864.16,3.04
0.62,-1029962.56,3.04
0.62,-1030003.25,3.04
0.62,-1030003.49,3.04
0.61,-1030084.07,3.04
0.62,-1030100.17,3.04
0.61,-1030128.21,3.04
0.61,-1030190.88,3.04
0.61,-1030413.76,3.04
0.63,-1030503.89,3.04
0.63,-1030584.39,3.04
0.61,-1030830.03,3.04
0.63,-1030886.07,3.04
0.63,-1030948.59,3.04
0.61,-1031224.03,3.04
0.63,-1031360.72,3.04
0.63,-1031772.38,3.04
0.61,-1031789.8,3.04
0.61,-1031817.54,3.04
0.63,-1032019.75,3.04
0.61,-1032066.97,3.04
0.63,-1032269.04,3.04
0.63,-1032392.11,3.04
0.61,-1032395.4,3.04
0.6,-1032708.1,3.04
0.63,-1032744.86,3.04
0.63,-1032878.78,3.04
0.6,-1032881.31,3.04
0.64,-1034062.44,3.04
0.64,-1034214.92,3.04
0.6,-1034499.97,3.04
0.64,-1035085.5,3.04
0.6,-1035437.08,3.04
0.6,-1035530.1,3.04
0.64,-1035608.9,3.04
0.64,-1035807.51,3.04
0.6,-1036749.38,3.04
0.64,-1037134.72,3.04
0.6,-1037761.73,3.04
0.59,-1038634.8,3.04
0.64,-1038754.94,3.04
0.64,-1039002.07,3.04
0.64,-1039097.78,3.04
0.59,-1039292.51,3.04
0.59,-1039329.31,3.04
0.65,-1039644.14,3.04
0.59,-1040034.51,3.04
0.65,-1041803.25,3.04
0.65,-1042264.89,3.04
0.59,-1042685.01,3.04
0.65,-1042998.5,3.04
0.59,-1044934.82,3.04
0.65,-1044967.57,3.04
0.59,-1045199.33,3.04
0.65,-1045430.45,3.04
0.59,-1045968.21,3.04
0.59,-1046372.43,3.04
0.65,-1047769.36,3.04
0.58,-1049836.54,3.04
0.66,-1049989.6,3.04
0.58,-1050314.51,3.04
0.58,-1050555.7,3.04
0.58,-1052380.57,3.04
0.58,-1052826.87,3.04
0.66,-1053534.5,3.04
0.58,-1053841.51,3.04
0.58,-1053972.67,3.04
0.58,-1054612.72,3.04
0.58,-1055963.09,3.04
0.66,-1057696.11,3.04
0.57,-1058564.4,3.04
0.66,-1058629.45,3.04
0.66,-1059091.74,3.04
0.57,-1059209.29,3.04
0.57,-1059343.08,3.04
0.66,-1059497.8,3.04
0.57,-1059924.15,3.04
0.57,-1060469.29,3.04
0.57,-1061532.22,3.04
0.57,-1061646.39,3.04
0.57,-1062839.8,3.04
0.57,-1063353.02,3.04
0.57,-1064002.85,3.04
0.67,-1065537.29,3.04
0.57,-1065758.93,3.04
0.67,-1065939.81,3.04
0.67,-1066033.02,3.04
0.67,-1066673.31,3.04
0.57,-1066691.29,3.04
0.57,-1066700.96,3.04
0.57,-1067816.58,3.04
0.67,-1068515.51,3.04
0.67,-1069002.24,3.04
0.67,-1069981.44,3.04
0.67,-1070242.19,3.04
0.67,-1070445.26,3.04
0.57,-1071553.13,3.04
0.67,-1071598.43,3.04
0.67,-1072499.48,3.04
0.56,-1073398.11,3.04
0.67,-1073548.32,3.04
0.67,-1073790.36,3.04
0.67,-1074948.75,3.04
0.67,-1075615.78,3.04
0.56,-1079132.06,3.04
0.56,-1079988.26,3.04
0.68,-1080380.6,3.04
0.56,-1081395.5,3.04
0.68,-1082181.76,3.04
0.68,-1082592.25,3.04
0.56,-1082822.45,3.04
0.56,-1083201.17,3.04
0.56,-1083508.84,3.04
0.56,-1084589.17,3.04
0.56,-1086873.09,3.04
0.56,-1087325.36,3.04
0.56,-1087632.48,3.04
0.68,-1088727.73,3.04
0.55,-1090570.81,3.04
0.68,-1090625.91,3.04
0.55,-1092060.03,3.04
0.69,-1093990.88,3.04
0.55,-1094110.67,3.04
0.55,-1094216.5,3.04
0.69,-1096505.54,3.04
0.69,-1097115.75,3.04
0.55,-1097529.72,3.04
0.55,-1097807.4,3.04
0.69,-1100347.96,3.04
0.69,-1100519.33,3.04
0.55,-1100637.38,3.04
0.69,-1104093.38,3.04
0.55,-1104744.88,3.04
0.69,-1105498.72,3.04
0.69,-1105594.19,3.04
0.55,-1107323.08,3.04
0.69,-1107581.37,3.04
0.55,-1107913.64,3.04
0.69,-1108537.27,3.04
0.69,-1108618.01,3.04
0.69,-1109303.37,3.04
0.54,-1112148.39,3.04
0.54,-1112393.46,3.04
0.69,-1113071.96,3.04
0.54,-1114263.58,3.04
0.7,-1116118.27,3.04
0.54,-1117883.61,3.04
0.7,-1118469.09,3.04
0.7,-1118509.44,3.04
0.54,-1119271.99,3.04
0.7,-1119631.93,3.04
0.7,-1119771.87,3.04
0.54,-1120863.88,3.04
0.7,-1121362.38,3.04
0.54,-1122285.35,3.04
