Snow ratio,Log likelihood,Error std,Residual
0.1915,-3638040.3755,3.0351,27.4057
0.1915,-3638040.3755,3.0351,27.9661
0.2055,-3541246.2382,3.0351,26.9258
0.2055,-3541246.2382,3.0351,27.617
0.2206,-3361252.8217,3.0351,26.0083
0.2435,-3100868.3802,3.0351,24.6159
0.2623,-2898718.9519,3.0351,23.4733
0.2623,-2898718.9519,3.0351,23.9054
0.2715,-2803833.9913,3.0351,22.9157
0.2821,-2696920.8263,3.0351,22.2692
0.2821,-2696920.8263,3.0351,22.6635
0.2823,-2695395.5227,3.0351,22.2598
0.2823,-2695395.5227,3.0351,23.7377
0.3014,-2511514.4109,3.0351,21.0968
0.3014,-2511514.4109,3.0351,21.5075
0.3014,-2511514.4109,3.0351,22.3874
0.3231,-2316339.3733,3.0351,19.7803
0.3306,-2251376.4471,3.0351,19.3202
0.3306,-2251376.4471,3.0351,19.6327
0.3306,-2251376.4471,3.0351,19.877
0.3491,-2100022.3326,3.0351,18.1983
0.3491,-2100022.3326,3.0351,18.3923
0.3491,-2100022.3326,3.0351,19.2811
0.3593,-2020446.8344,3.0351,17.5765
0.3593,-2020446.8344,3.0351,18.4312
0.3593,-2020446.8344,3.0351,17.7524
0.3593,-2020446.8344,3.0351,18.9144
0.3593,-2020446.8344,3.0351,18.9523
0.3641,-1984680.3925,3.0351,17.2889
0.3657,-1972246.2269,3.0351,17.1877
0.3657,-1972246.2269,3.0351,18.5757
0.3657,-1972246.2269,3.0351,17.7054
0.3657,-1972246.2269,3.0351,18.3673
0.369,-1947870.4394,3.0351,16.9873
0.369,-1947870.4394,3.0351,18.4864
0.3896,-1802767.2661,3.0351,15.7347
0.4041,-1707972.6196,3.0351,14.8516
0.4288,-1561551.9148,3.0351,13.356
0.4517,-1441051.9307,3.0351,11.9616
0.4663,-1372418.4349,3.0351,11.0742
0.4663,-1372418.4349,3.0351,11.7269
0.4663,-1372418.4349,3.0351,11.1407
0.4663,-1372418.4349,3.0351,11.4318
0.4663,-1372418.4349,3.0351,11.2211
0.4663,-1372418.4349,3.0351,12.2171
0.4782,-1320993.4775,3.0351,10.3492
0.4826,-1303215.4725,3.0351,10.0839
0.4826,-1303215.4725,3.0351,10.1701
0.4826,-1303215.4725,3.0351,10.9069
0.4826,-1303215.4725,3.0351,10.3369
0.4826,-1303215.4725,3.0351,11.5847
0.4826,-1303215.4725,3.0351,10.2757
