Snow ratio,Log likelihood,Error std,H2 lapse rate
0.54,-992633.74,3.04,-0.01
0.53,-994427.37,3.04,-0.01
0.54,-996088.2,3.04,-0.01
0.51,-996137.42,3.04,-0.01
0.52,-996313.47,3.04,-0.01
0.53,-996383.7,3.04,-0.01
0.52,-996823.54,3.04,-0.01
0.57,-996945.9,3.04,-0.01
0.56,-997235.4,3.04,-0.01
0.53,-998392.87,3.04,-0.01
0.58,-999700.68,3.04,-0.01
0.58,-999937.95,3.04,-0.01
0.54,-1000118.86,3.04,-0.01
0.5,-1000915.49,3.04,-0.01
0.59,-1001797.25,3.04,-0.01
0.57,-1002262.3,3.04,-0.0
0.54,-1002687.77,3.04,-0.01
0.49,-1004339.85,3.04,-0.01
0.58,-1005130.31,3.04,-0.01
0.53,-1005523.41,3.04,-0.01
0.5,-1005652.81,3.04,-0.01
0.6,-1006563.4,3.04,-0.01
0.49,-1007919.58,3.04,-0.02
0.59,-1008221.14,3.04,-0.01
0.49,-1008593.76,3.04,-0.02
0.55,-1009301.47,3.04,-0.01
0.56,-1010034.34,3.04,-0.0
0.6,-1010292.27,3.04,-0.0
0.48,-1010436.16,3.04,-0.02
0.6,-1010469.88,3.04,-0.0
0.48,-1011179.01,3.04,-0.02
0.51,-1011517.72,3.04,-0.01
0.57,-1011637.34,3.04,-0.0
0.55,-1013012.27,3.04,-0.01
0.47,-1013229.39,3.04,-0.02
0.57,-1013835.78,3.04,-0.0
0.55,-1014627.01,3.04,-0.0
0.53,-1015044.14,3.04,-0.01
0.58,-1015933.45,3.04,-0.0
0.62,-1016094.67,3.04,-0.0
0.62,-1016412.09,3.04,-0.0
0.53,-1016672.63,3.04,-0.02
0.5,-1018008.74,3.04,-0.02
0.55,-1018113.0,3.04,-0.01
0.48,-1018122.45,3.04,-0.01
0.61,-1018282.98,3.04,-0.01
0.47,-1019743.09,3.04,-0.02
0.6,-1019778.6,3.04,-0.0
0.48,-1021539.57,3.04,-0.01
0.55,-1022869.11,3.04,-0.0
0.61,-1023573.83,3.04,-0.01
0.62,-1024205.61,3.04,-0.0
0.59,-1024443.17,3.04,-0.01
0.53,-1024461.92,3.04,-0.01
0.53,-1024634.15,3.04,-0.01
0.51,-1024934.15,3.04,-0.02
0.54,-1025991.02,3.04,-0.01
0.46,-1026188.22,3.04,-0.02
0.46,-1026505.58,3.04,-0.01
0.56,-1026570.17,3.04,-0.01
0.56,-1026620.02,3.04,-0.01
0.45,-1027330.23,3.04,-0.02
0.55,-1029256.05,3.04,-0.01
0.59,-1029855.4,3.04,-0.01
0.48,-1030523.99,3.04,-0.02
0.5,-1030645.73,3.04,-0.02
0.56,-1031599.48,3.04,-0.01
0.5,-1032459.04,3.04,-0.01
0.45,-1033428.97,3.04,-0.02
0.57,-1034312.08,3.04,-0.01
0.49,-1034958.51,3.04,-0.02
0.64,-1035127.23,3.04,-0.0
0.64,-1036188.37,3.04,-0.0
0.47,-1036298.54,3.04,-0.02
0.47,-1036349.73,3.04,-0.01
0.44,-1037308.24,3.04,-0.02
0.46,-1037380.67,3.04,-0.01
0.47,-1038024.75,3.04,-0.02
0.64,-1038256.16,3.04,-0.0
0.45,-1038713.9,3.04,-0.02
0.62,-1038813.32,3.04,-0.01
0.49,-1039301.88,3.04,-0.02
0.51,-1041285.08,3.04,-0.02
0.59,-1042470.65,3.04,-0.01
0.54,-1043431.29,3.04,-0.02
0.63,-1044400.41,3.04,-0.01
0.47,-1045045.03,3.04,-0.01
0.44,-1045218.23,3.04,-0.02
0.63,-1045338.83,3.04,-0.01
0.63,-1046610.37,3.04,0.0
0.63,-1047763.8,3.04,-0.01
0.62,-1048263.74,3.04,0.0
0.44,-1048266.43,3.04,-0.02
0.54,-1048534.56,3.04,-0.02
0.65,-1049118.5,3.04,0.0
0.5,-1049758.02,3.04,-0.01
0.46,-1050073.24,3.04,-0.02
0.55,-1050429.98,3.04,-0.0
0.43,-1050668.2,3.04,-0.02
0.43,-1050757.81,3.04,-0.02
0.6,-1050884.93,3.04,-0.01
0.6,-1050943.25,3.04,0.0
0.46,-1051023.22,3.04,-0.01
0.5,-1052340.36,3.04,-0.01
0.53,-1052446.96,3.04,-0.02
0.64,-1053504.45,3.04,0.0
0.64,-1053702.48,3.04,-0.01
0.55,-1054946.48,3.04,-0.02
0.43,-1056764.72,3.04,-0.02
0.52,-1057251.36,3.04,-0.02
0.59,-1058456.2,3.04,0.0
0.5,-1059121.7,3.04,-0.01
0.58,-1059556.02,3.04,-0.01
0.53,-1061591.16,3.04,-0.0
0.66,-1062484.49,3.04,0.0
0.58,-1062951.08,3.04,0.0
0.44,-1064072.65,3.04,-0.01
0.56,-1065953.45,3.04,-0.02
0.45,-1066224.52,3.04,-0.01
0.66,-1067078.73,3.04,0.0
0.45,-1067461.41,3.04,-0.02
0.6,-1067641.46,3.04,-0.01
0.42,-1067770.33,3.04,-0.02
0.48,-1068083.28,3.04,-0.02
0.61,-1068582.39,3.04,-0.01
0.63,-1069496.12,3.04,0.0
0.44,-1069766.76,3.04,-0.02
0.52,-1069912.92,3.04,-0.0
0.41,-1070488.73,3.04,-0.02
0.67,-1071108.85,3.04,0.0
