Snow ratio,Log likelihood,Error std,H2 lapse rate,Residual
0.417,-4000314.0229,3.0351,0.0256,30.8109
0.3994,-3766474.2744,3.0351,0.0233,29.5993
0.3994,-3766474.2744,3.0351,0.0233,30.0077
0.4013,-3689280.1286,3.0351,0.0228,29.1875
0.4106,-3392469.3831,3.0351,0.0211,27.5489
0.4295,-2913730.1199,3.0351,0.0183,24.6791
0.438,-2786064.8437,3.0351,0.0179,23.8569
0.4409,-2568826.4595,3.0351,0.0158,22.3797
0.4409,-2568826.4595,3.0351,0.0158,24.3918
0.4409,-2568826.4595,3.0351,0.0158,23.6463
0.4607,-2206026.6857,3.0351,0.0133,19.6741
0.4607,-2206026.6857,3.0351,0.0133,19.8958
0.4607,-2206026.6857,3.0351,0.0133,20.6205
0.4607,-2206026.6857,3.0351,0.0133,20.2635
0.4607,-2206026.6857,3.0351,0.0133,20.3071
0.4607,-2206026.6857,3.0351,0.0133,20.667
0.4607,-2206026.6857,3.0351,0.0133,21.3895
0.4607,-2206026.6857,3.0351,0.0133,21.3057
0.45,-2123257.2541,3.0351,0.0112,18.991
0.45,-2123257.2541,3.0351,0.0112,21.1075
0.45,-2123257.2541,3.0351,0.0112,19.6782
0.4538,-1949717.4054,3.0351,0.0091,17.4913
0.4538,-1949717.4054,3.0351,0.0091,17.9379
0.4538,-1949717.4054,3.0351,0.0091,18.4546
0.4538,-1949717.4054,3.0351,0.0091,18.9964
0.4538,-1949717.4054,3.0351,0.0091,19.0477
0.4739,-1686886.6792,3.0351,0.007,14.9536
0.4739,-1686886.6792,3.0351,0.007,17.1622
0.4739,-1686886.6792,3.0351,0.007,17.5152
0.4739,-1686886.6792,3.0351,0.007,15.0007
0.4739,-1686886.6792,3.0351,0.007,15.4788
0.4739,-1686886.6792,3.0351,0.007,17.0816
0.4972,-1610381.304,3.0351,0.008,14.122
0.5032,-1463013.1009,3.0351,0.0057,12.3663
0.5257,-1352298.2579,3.0351,0.0054,10.8156
0.5296,-1314974.6587,3.0351,0.0049,10.247
0.5296,-1314974.6587,3.0351,0.0049,12.4967
0.5296,-1314974.6587,3.0351,0.0049,12.1834
0.5296,-1314974.6587,3.0351,0.0049,11.5487
0.5501,-1271288.4912,3.0351,0.0056,9.4434
0.5501,-1271288.4912,3.0351,0.0056,12.4608
0.5749,-1141973.0878,3.0351,0.0037,6.7547
0.5749,-1141973.0878,3.0351,0.0037,9.4091
0.5749,-1141973.0878,3.0351,0.0037,8.9917
0.5961,-1133237.4923,3.0351,0.0049,6.2216
