Snow ratio,Log likelihood,Error std,O18 lapse rate
0.59,-586127.87,0.49,-0.0
0.6,-586132.28,0.49,-0.0
0.62,-586405.6,0.49,-0.0
0.61,-586665.68,0.49,-0.0
0.58,-586797.0,0.49,-0.0
0.58,-587002.69,0.49,-0.0
0.62,-587149.64,0.49,-0.0
0.62,-587725.66,0.49,-0.0
0.58,-587823.61,0.49,-0.0
0.57,-589223.67,0.49,-0.0
0.63,-589505.51,0.49,-0.0
0.59,-590046.6,0.49,-0.0
0.57,-590321.49,0.49,-0.0
0.58,-590573.28,0.49,-0.0
0.61,-590958.88,0.49,-0.0
0.64,-591471.17,0.49,-0.0
0.57,-591544.24,0.49,-0.0
0.63,-591814.07,0.49,-0.0
0.57,-592209.7,0.49,-0.0
0.56,-592404.37,0.49,-0.0
0.62,-593109.72,0.49,-0.0
0.63,-593211.85,0.49,0.0
0.57,-594974.95,0.49,-0.0
0.65,-595131.58,0.49,-0.0
0.54,-595163.37,0.49,-0.0
0.61,-595331.57,0.49,-0.0
0.65,-596235.28,0.49,0.0
0.63,-596405.39,0.49,0.0
0.58,-597035.27,0.49,-0.0
0.53,-600725.94,0.49,-0.0
0.56,-600753.36,0.49,-0.0
0.66,-600844.21,0.49,-0.0
0.59,-601143.97,0.49,-0.0
0.56,-601181.09,0.49,-0.0
0.6,-601293.82,0.49,-0.0
0.67,-601333.55,0.49,0.0
0.67,-602297.31,0.49,0.0
0.6,-602572.92,0.49,-0.0
0.67,-602769.66,0.49,0.0
0.53,-603471.96,0.49,-0.0
0.61,-604327.43,0.49,0.0
0.67,-604379.18,0.49,-0.0
0.62,-604563.56,0.49,0.0
0.63,-604954.79,0.49,0.0
0.58,-605556.1,0.49,-0.0
0.62,-605665.45,0.49,0.0
0.59,-606086.38,0.49,-0.0
0.57,-606385.68,0.49,-0.0
0.63,-606392.48,0.49,0.0
0.61,-607184.9,0.49,0.0
0.58,-608319.11,0.49,-0.0
0.53,-608490.19,0.49,-0.0
0.67,-608777.96,0.49,-0.0
0.66,-608986.34,0.49,-0.0
0.6,-609502.52,0.49,0.0
0.66,-609990.71,0.49,-0.0
