Snow ratio,Log likelihood,Error std
0.64,-592736.0,0.49
0.64,-592739.51,0.49
0.63,-592771.8,0.49
0.63,-592784.4,0.49
0.64,-592786.94,0.49
0.63,-592828.25,0.49
0.64,-592834.72,0.49
0.63,-592847.59,0.49
0.64,-592856.12,0.49
0.63,-592894.09,0.49
0.63,-592951.28,0.49
0.64,-593038.32,0.49
0.63,-593076.66,0.49
0.63,-593253.26,0.49
0.63,-593285.98,0.49
0.64,-593335.11,0.49
0.64,-593386.23,0.49
0.64,-593406.4,0.49
0.63,-593473.84,0.49
0.65,-593525.31,0.49
0.63,-593534.39,0.49
0.62,-593948.3,0.49
0.65,-594050.34,0.49
0.62,-594092.96,0.49
0.62,-594093.36,0.49
0.62,-594163.71,0.49
0.65,-594172.46,0.49
0.62,-594368.99,0.49
0.65,-594372.75,0.49
0.62,-594513.59,0.49
0.62,-594542.68,0.49
0.62,-594571.33,0.49
0.65,-594943.8,0.49
0.62,-595052.05,0.49
0.65,-595084.37,0.49
0.62,-595161.16,0.49
0.62,-595492.77,0.49
0.65,-595826.3,0.49
0.62,-595946.47,0.49
0.62,-596073.84,0.49
0.62,-596106.65,0.49
0.66,-596572.9,0.49
0.61,-597171.77,0.49
0.61,-597286.72,0.49
0.61,-597442.66,0.49
0.66,-597834.32,0.49
0.61,-597947.1,0.49
0.61,-598761.43,0.49
0.66,-599402.54,0.49
0.61,-599444.16,0.49
0.66,-599765.13,0.49
0.66,-599946.05,0.49
0.66,-600105.68,0.49
0.61,-600335.8,0.49
0.61,-600377.52,0.49
0.61,-600745.97,0.49
0.61,-601214.79,0.49
0.6,-601646.68,0.49
0.6,-601880.68,0.49
0.67,-602549.66,0.49
0.67,-602716.74,0.49
0.67,-602755.5,0.49
0.67,-603022.41,0.49
0.67,-603796.73,0.49
0.6,-603933.19,0.49
0.67,-604002.84,0.49
0.67,-604419.32,0.49
0.67,-604530.63,0.49
0.67,-604617.44,0.49
0.6,-605041.59,0.49
0.67,-605112.27,0.49
0.6,-605149.21,0.49
0.67,-605501.1,0.49
0.67,-605956.02,0.49
0.67,-606061.35,0.49
0.6,-606526.86,0.49
0.67,-606567.19,0.49
0.67,-606859.75,0.49
0.6,-607631.45,0.49
0.59,-608560.88,0.49
0.68,-608975.0,0.49
0.59,-609248.88,0.49
0.59,-609287.1,0.49
0.68,-609785.36,0.49
0.68,-609970.81,0.49
0.59,-610013.96,0.49
0.59,-612667.53,0.49
0.68,-612774.33,0.49
0.68,-613652.81,0.49
0.59,-614842.88,0.49
0.59,-615094.81,0.49
0.69,-615221.85,0.49
0.59,-615823.07,0.49
0.59,-616203.6,0.49
0.69,-616403.6,0.49
0.69,-616691.5,0.49
0.69,-618223.45,0.49
0.69,-618305.0,0.49
0.58,-619407.15,0.49
0.58,-619841.98,0.49
0.69,-620012.64,0.49
0.58,-620060.8,0.49
0.69,-620687.62,0.49
0.69,-620733.54,0.49
0.69,-621691.41,0.49
0.58,-621704.3,0.49
0.58,-622103.16,0.49
0.69,-622153.48,0.49
0.69,-622192.55,0.49
0.69,-622524.42,0.49
0.58,-623005.75,0.49
0.58,-623122.01,0.49
0.58,-623688.07,0.49
0.69,-624356.62,0.49
0.58,-624875.55,0.49
0.7,-625846.39,0.49
0.7,-627001.1,0.49
0.7,-627020.95,0.49
0.57,-627139.25,0.49
0.7,-627573.84,0.49
0.7,-627642.84,0.49
0.57,-627695.99,0.49
0.57,-627811.29,0.49
0.57,-628311.21,0.49
0.7,-628428.03,0.49
0.57,-628779.05,0.49
0.57,-629688.07,0.49
0.57,-629785.48,0.49
0.7,-629876.6,0.49
0.7,-630246.73,0.49
0.7,-630405.85,0.49
0.57,-630800.86,0.49
0.57,-631236.04,0.49
0.7,-631554.73,0.49
0.57,-631785.83,0.49
0.7,-632943.11,0.49
0.57,-633264.97,0.49
0.57,-634046.56,0.49
0.57,-634054.65,0.49
0.7,-634964.96,0.49
0.7,-634967.88,0.49
0.57,-634986.61,0.49
0.57,-638084.27,0.49
0.71,-638186.61,0.49
0.71,-639364.78,0.49
0.56,-639601.37,0.49
0.71,-639838.4,0.49
0.71,-641358.18,0.49
0.71,-642606.25,0.49
0.56,-644270.35,0.49
0.56,-644962.08,0.49
0.71,-644986.56,0.49
0.71,-645253.43,0.49
0.71,-645546.35,0.49
0.56,-646096.17,0.49
0.56,-647242.67,0.49
0.56,-647546.39,0.49
0.71,-647608.95,0.49
0.56,-647792.95,0.49
0.56,-648657.54,0.49
0.56,-650479.38,0.49
0.56,-650839.23,0.49
0.56,-651083.41,0.49
0.72,-651894.43,0.49
0.72,-653119.1,0.49
0.72,-653280.11,0.49
0.72,-653355.33,0.49
0.55,-653412.88,0.49
0.55,-654589.04,0.49
0.55,-656203.91,0.49
0.55,-656287.11,0.49
0.72,-658537.03,0.49
0.55,-658885.0,0.49
0.55,-659102.15,0.49
0.55,-661310.3,0.49
0.72,-662633.48,0.49
0.55,-664500.21,0.49
0.55,-666493.9,0.49
0.55,-666949.7,0.49
0.73,-667669.2,0.49
0.73,-669165.26,0.49
0.54,-670208.86,0.49
0.54,-670396.99,0.49
0.54,-671830.96,0.49
0.73,-672031.36,0.49
0.73,-672485.4,0.49
0.73,-673289.86,0.49
0.54,-674598.68,0.49
0.73,-674626.09,0.49
0.54,-675657.46,0.49
0.54,-676869.65,0.49
0.73,-677279.75,0.49
0.73,-677495.48,0.49
0.73,-677622.45,0.49
0.54,-677950.51,0.49
0.54,-679406.45,0.49
0.54,-679432.07,0.49
0.54,-679771.06,0.49
0.73,-680013.02,0.49
0.54,-680105.75,0.49
0.73,-680197.03,0.49
0.74,-683496.91,0.49
0.54,-684730.97,0.49
0.53,-688907.7,0.49
0.53,-689828.78,0.49
0.74,-692894.54,0.49
0.53,-694553.39,0.49
0.53,-698788.56,0.49
0.53,-700036.81,0.49
0.53,-700150.55,0.49
0.74,-700225.86,0.49
0.53,-700413.66,0.49
0.53,-700604.74,0.49
0.74,-701518.13,0.49
0.53,-701725.58,0.49
0.53,-702996.3,0.49
0.75,-703249.56,0.49
0.75,-703861.45,0.49
0.53,-704257.76,0.49
0.53,-704526.6,0.49
0.75,-706510.66,0.49
0.52,-706563.91,0.49
0.75,-706646.54,0.49
0.75,-706886.02,0.49
0.75,-707294.91,0.49
0.52,-708155.16,0.49
0.75,-709037.51,0.49
0.75,-710622.02,0.49
0.52,-711991.69,0.49
0.75,-712568.41,0.49
0.75,-712912.17,0.49
0.75,-713170.23,0.49
0.75,-713229.44,0.49
0.75,-714183.66,0.49
0.75,-714581.29,0.49
0.75,-714857.64,0.49
0.75,-715236.86,0.49
0.75,-716102.74,0.49
0.52,-717718.29,0.49
0.52,-718297.39,0.49
0.52,-718440.14,0.49
0.52,-718449.52,0.49
0.75,-718734.62,0.49
0.52,-720940.58,0.49
0.75,-721161.16,0.49
0.75,-722097.87,0.49
0.52,-722231.67,0.49
0.75,-723313.76,0.49
0.75,-723379.53,0.49
0.52,-723460.71,0.49
0.52,-723499.29,0.49
0.76,-723798.4,0.49
0.76,-724636.82,0.49
0.52,-725331.7,0.49
0.51,-727480.08,0.49
0.51,-729076.1,0.49
0.76,-730917.09,0.49
0.76,-731976.79,0.49
0.76,-732996.09,0.49
0.51,-733328.4,0.49
0.51,-735961.21,0.49
0.51,-739493.88,0.49
0.51,-742056.45,0.49
0.51,-743454.48,0.49
0.51,-745445.02,0.49
0.51,-748635.62,0.49
0.51,-748827.09,0.49
0.77,-749400.25,0.49
0.77,-750756.54,0.49
0.5,-751141.97,0.49
0.5,-751580.68,0.49
0.77,-751989.55,0.49
0.77,-752451.08,0.49
0.77,-753185.44,0.49
0.5,-754033.09,0.49
0.77,-759007.46,0.49
0.77,-759227.31,0.49
0.77,-759434.94,0.49
0.77,-760829.37,0.49
0.5,-762872.92,0.49
0.5,-763745.99,0.49
0.77,-764065.96,0.49
0.5,-767605.05,0.49
0.77,-768164.29,0.49
0.77,-768355.19,0.49
0.5,-769556.26,0.49
0.5,-769656.07,0.49
0.77,-769720.99,0.49
0.77,-769892.49,0.49
0.77,-770965.75,0.49
0.49,-775855.98,0.49
0.78,-776653.13,0.49
0.78,-777619.08,0.49
0.49,-777749.08,0.49
0.78,-778611.66,0.49
0.49,-778655.16,0.49
0.49,-783126.4,0.49
0.78,-783606.94,0.49
0.49,-784449.6,0.49
0.49,-784524.07,0.49
0.78,-785695.42,0.49
0.49,-787973.52,0.49
0.49,-789824.98,0.49
0.78,-790126.88,0.49
0.78,-791660.82,0.49
0.49,-794279.38,0.49
0.49,-794335.4,0.49
0.78,-796312.53,0.49
0.49,-798598.71,0.49
0.79,-798616.15,0.49
0.49,-799576.2,0.49
0.79,-803660.9,0.49
0.48,-803912.12,0.49
0.79,-804877.06,0.49
0.79,-805933.66,0.49
0.79,-809735.04,0.49
0.79,-816982.72,0.49
0.79,-819967.09,0.49
0.48,-822016.65,0.49
0.48,-822136.43,0.49
0.48,-822628.99,0.49
0.48,-824732.58,0.49
0.79,-824979.83,0.49
0.48,-825107.0,0.49
0.48,-825489.54,0.49
0.8,-827099.41,0.49
0.8,-829060.24,0.49
0.8,-830898.74,0.49
0.8,-832006.85,0.49
0.47,-833989.52,0.49
0.47,-833996.57,0.49
0.8,-834020.2,0.49
0.8,-836905.9,0.49
0.8,-836907.86,0.49
0.8,-839950.25,0.49
0.8,-840437.31,0.49
0.8,-842119.24,0.49
0.8,-843030.9,0.49
0.8,-843370.88,0.49
0.47,-844290.7,0.49
0.47,-846729.0,0.49
0.8,-847694.67,0.49
0.8,-849317.15,0.49
0.8,-850159.58,0.49
0.47,-850177.24,0.49
0.47,-850292.75,0.49
0.8,-850776.32,0.49
0.8,-853241.78,0.49
0.47,-854569.97,0.49
0.8,-855706.89,0.49
0.47,-855707.58,0.49
0.47,-859363.17,0.49
0.47,-861588.5,0.49
0.81,-863075.94,0.49
0.81,-863882.52,0.49
0.81,-863979.77,0.49
0.81,-864951.71,0.49
