Snow ratio,Log likelihood,Error std,Residual
0.8006,-917555.7212,0.4907,-1.3416
0.7949,-825979.4254,0.4907,-1.121
0.7949,-825979.4254,0.4907,-1.2105
0.7802,-784781.2285,0.4907,-1.0075
0.7802,-784781.2285,0.4907,-1.1551
0.7802,-784781.2285,0.4907,-1.0887
0.7802,-784781.2285,0.4907,-1.0376
0.7802,-784781.2285,0.4907,-1.0438
0.7762,-774398.806,0.4907,-0.977
0.7632,-742302.5147,0.4907,-0.8768
0.7446,-701771.9395,0.4907,-0.7334
0.7446,-701771.9395,0.4907,-0.8858
0.7446,-701771.9395,0.4907,-0.783
0.7446,-701771.9395,0.4907,-0.8222
0.7446,-701771.9395,0.4907,-0.8411
0.7446,-701771.9395,0.4907,-0.8508
0.7429,-698297.2659,0.4907,-0.72
0.7429,-698297.2659,0.4907,-0.8187
0.7249,-665887.8928,0.4907,-0.5818
0.704,-635541.781,0.4907,-0.4205
0.6969,-627062.7257,0.4907,-0.3657
0.6969,-627062.7257,0.4907,-0.5462
0.673,-605463.9985,0.4907,-0.1819
0.6586,-597528.2149,0.4907,-0.0713
0.6586,-597528.2149,0.4907,-0.1584
0.6355,-592734.4737,0.4907,0.1065
0.6355,-592734.4737,0.4907,0.1609
0.6355,-592734.4737,0.4907,-0.0343
0.6355,-592734.4737,0.4907,-0.0397
0.6355,-592734.4737,0.4907,0.0248
0.6355,-592734.4737,0.4907,0.1509
0.6355,-592734.4737,0.4907,0.0123
0.6355,-592734.4737,0.4907,0.2388
0.6355,-592734.4737,0.4907,0.0981
0.6355,-592734.4737,0.4907,0.1291
0.6355,-592734.4737,0.4907,0.0952
0.6355,-592734.4737,0.4907,0.1247
0.6355,-592734.4737,0.4907,0.2755
0.6355,-592734.4737,0.4907,0.04
0.6355,-592734.4737,0.4907,0.0398
0.6355,-592734.4737,0.4907,-0.0209
0.6355,-592734.4737,0.4907,0.0807
0.6355,-592734.4737,0.4907,0.2639
0.6355,-592734.4737,0.4907,0.1717
0.6355,-592734.4737,0.4907,0.2591
0.6355,-592734.4737,0.4907,-0.0819
0.6355,-592734.4737,0.4907,0.0846
0.6355,-592734.4737,0.4907,0.1187
0.6355,-592734.4737,0.4907,0.0822
0.6355,-592734.4737,0.4907,0.2307
0.6355,-592734.4737,0.4907,0.0104
0.6355,-592734.4737,0.4907,0.0182
0.6355,-592734.4737,0.4907,0.0196
0.6355,-592734.4737,0.4907,0.2463
0.6355,-592734.4737,0.4907,0.1856
0.6355,-592734.4737,0.4907,0.0513
0.6355,-592734.4737,0.4907,0.1488
0.6355,-592734.4737,0.4907,-0.0099
0.6355,-592734.4737,0.4907,0.2599
0.6355,-592734.4737,0.4907,0.1473
0.6355,-592734.4737,0.4907,0.0858
0.6355,-592734.4737,0.4907,0.2967
0.6355,-592734.4737,0.4907,0.2548
0.6355,-592734.4737,0.4907,0.2112
0.6355,-592734.4737,0.4907,0.1406
0.6355,-592734.4737,0.4907,0.1185
0.6355,-592734.4737,0.4907,0.2672
0.6355,-592734.4737,0.4907,-0.0524
0.6355,-592734.4737,0.4907,-0.0027
0.6355,-592734.4737,0.4907,0.0409
0.6355,-592734.4737,0.4907,0.1486
0.6355,-592734.4737,0.4907,0.2137
0.6355,-592734.4737,0.4907,0.1818
0.6355,-592734.4737,0.4907,0.0657
0.6355,-592734.4737,0.4907,0.2659
0.6355,-592734.4737,0.4907,-0.0535
0.6355,-592734.4737,0.4907,0.0836
0.6355,-592734.4737,0.4907,-0.0216
0.6355,-592734.4737,0.4907,0.1881
0.6355,-592734.4737,0.4907,0.1491
0.6355,-592734.4737,0.4907,0.0938
0.6355,-592734.4737,0.4907,0.0047
0.6355,-592734.4737,0.4907,-0.0244
0.6355,-592734.4737,0.4907,0.0893
0.6355,-592734.4737,0.4907,0.0604
0.6355,-592734.4737,0.4907,0.2172
0.6355,-592734.4737,0.4907,0.1983
0.6355,-592734.4737,0.4907,-0.0177
0.6355,-592734.4737,0.4907,0.2194
0.6355,-592734.4737,0.4907,0.2923
0.6355,-592734.4737,0.4907,0.2648
0.6355,-592734.4737,0.4907,-0.0666
0.6355,-592734.4737,0.4907,0.0525
0.6355,-592734.4737,0.4907,0.2344
0.6355,-592734.4737,0.4907,0.1247
0.6355,-592734.4737,0.4907,0.1778
0.6355,-592734.4737,0.4907,-0.0837
0.6355,-592734.4737,0.4907,0.2595
0.6355,-592734.4737,0.4907,0.1725
0.6355,-592734.4737,0.4907,-0.0236
0.6355,-592734.4737,0.4907,-0.0456
0.6355,-592734.4737,0.4907,0.1249
0.6355,-592734.4737,0.4907,0.24
0.6355,-592734.4737,0.4907,0.1162
0.6355,-592734.4737,0.4907,0.0966
0.6355,-592734.4737,0.4907,-0.0163
0.6355,-592734.4737,0.4907,0.2265
0.6355,-592734.4737,0.4907,0.027
0.6355,-592734.4737,0.4907,-0.0412
0.6355,-592734.4737,0.4907,-0.0844
0.6355,-592734.4737,0.4907,-0.0132
0.6355,-592734.4737,0.4907,-0.0709
